"","UOGID","name","my_formula","allocation","formula_diff","pct_diff","rolled_up","pct_diff_rollup"
"1","010228","BIRMINGHAM",448507,457248,-8741,-1.91,448507,-1.91
"2","011542","MOBILE",181631,202400,-20769,-10.26,181631,-10.26
"3","011560","MONTGOMERY",127517,143189,-15672,-10.94,127517,-10.94
"4","019073","JEFFERSON COUNTY",168986,140527,28459,20.25,168986,20.25
"5","019097","MOBILE COUNTY",100508,133830,-33322,-24.9,0,-100
"6","019999","ALABAMA STATE PROGRAM",1446763,2298095,-851332,-37.05,1547271,-32.67
"7","020078","ANCHORAGE",333682,128923,204759,158.82,333682,158.82
"8","029999","ALASKA STATE PROGRAM",297302,198058,99244,50.11,297302,50.11
"9","040186","GLENDALE",223399,152647,70752,46.35,223399,46.35
"10","040270","MESA",303026,235686,67340,28.57,303026,28.57
"11","040330","PHOENIX",1651699,1171809,479890,40.95,1651699,40.95
"12","040492","TUCSON",868608,424973,443635,104.39,868608,104.39
"13","049013","MARICOPA COUNTY",167189,154895,12294,7.94,167189,7.94
"14","049019","PIMA COUNTY",344861,182702,162159,88.76,344861,88.76
"15","049999","ARIZONA STATE PROGRAM",1720748,1407223,313525,22.28,1720748,22.28
"16","059999","ARKANSAS STATE PROGRAM",1379337,1888444,-509107,-26.96,1379337,-26.96
"17","060078","ANAHEIM",856809,340922,515887,151.32,856809,151.32
"18","060228","BAKERSFIELD",266218,230100,36118,15.7,266218,15.7
"19","060324","BERKELEY",250897,223752,27145,12.13,250897,12.13
"20","060720","CHULA VISTA",260661,137230,123431,89.94,260661,89.94
"21","060804","COMPTON",265118,141103,124015,87.89,265118,87.89
"22","061152","EL MONTE",363901,184841,179060,96.87,363901,96.87
"23","061332","FONTANA",118040,143041,-25001,-17.48,0,-100
"24","061410","FRESNO",876275,522669,353606,67.65,876275,67.65
"25","061440","GARDEN GROVE",377625,177883,199742,112.29,377625,112.29
"26","061464","GLENDALE",312312,223967,88345,39.45,312312,39.45
"27","061740","INGLEWOOD",314740,152661,162079,106.17,314740,106.17
"28","062088","LONG BEACH",1692545,592756,1099789,185.54,1692545,185.54
"29","062118","LOS ANGELES",10644608,4902709,5741899,117.12,10644608,117.12
"30","062292","MODESTO",261260,160273,100987,63.01,261260,63.01
"31","062508","OAKLAND",910601,576655,333946,57.91,910601,57.91
"32","062556","ONTARIO",140240,165858,-25618,-15.45,140240,-15.45
"33","062622","OXNARD",373365,187486,185879,99.14,373365,99.14
"34","062724","PASADENA",454553,155388,299165,192.53,454553,192.53
"35","062850","POMONA",357178,193783,163395,84.32,357178,84.32
"36","063048","RIVERSIDE",275189,230297,44892,19.49,275189,19.49
"37","063144","SACRAMENTO",546675,396680,149995,37.81,546675,37.81
"38","063162","SALINAS",544401,168669,375732,222.76,544401,222.76
"39","063180","SAN BERNARDINO",246865,246345,520,0.21,246865,0.21
"40","063210","SAN DIEGO",2062111,1033394,1028717,99.55,2062111,99.55
"41","063228","SAN FRANCISCO",2574344,1409603,1164741,82.63,2574344,82.63
"42","063258","SAN JOSE",1624502,689763,934739,135.52,1624502,135.52
"43","063342","SANTA ANA",1049686,471714,577972,122.53,1049686,122.53
"44","063528","SOUTH GATE",277980,143919,134061,93.15,277980,93.15
"45","063624","STOCKTON",488772,286770,202002,70.44,488772,70.44
"46","069001","ALAMEDA COUNTY",201543,133913,67630,50.5,201543,50.5
"47","069013","CONTRA COSTA COUNTY",678092,236564,441528,186.64,678092,186.64
"48","069019","FRESNO COUNTY",433223,272391,160832,59.04,433223,59.04
"49","069029","KERN COUNTY",402102,362605,39497,10.89,402102,10.89
"50","069037","LOS ANGELES COUNTY",3613639,2025392,1588247,78.42,3613639,78.42
"51","069059","ORANGE COUNTY",513349,257711,255638,99.2,513349,99.2
"52","069065","RIVERSIDE COUNTY",634256,609341,24915,4.09,634256,4.09
"53","069067","SACRAMENTO COUNTY",500593,398780,101813,25.53,500593,25.53
"54","069071","SAN BERNARDINO COUNTY",446943,489313,-42370,-8.66,446943,-8.66
"55","069073","SAN DIEGO COUNTY",531884,321811,210073,65.28,531884,65.28
"56","069077","SAN JOAQUIN COUNTY",288868,191786,97082,50.62,288868,50.62
"57","069079","SAN LUIS OBISPO COUNTY",1271661,143256,1128405,787.68,1271661,787.68
"58","069081","SAN MATEO COUNTY",393735,194369,199366,102.57,393735,102.57
"59","069083","SANTA BARBARA COUNTY",655792,138242,517550,374.38,655792,374.38
"60","069097","SONOMA COUNTY",629005,135505,493500,364.19,629005,364.19
"61","069099","STANISLAUS COUNTY",280817,170384,110433,64.81,280817,64.81
"62","069111","VENTURA COUNTY",254821,137073,117748,85.9,254821,85.9
"63","069999","CALIFORNIA STATE PROGRAM",16355191,10782214,5572977,51.69,16473231,52.78
"64","080072","AURORA",357587,170008,187579,110.34,357587,110.34
"65","080288","COLORADO SPRINGS",376799,176766,200033,113.16,376799,113.16
"66","080390","DENVER",1039636,608563,431073,70.83,1039636,70.83
"67","089999","COLORADO STATE PROGRAM",3178627,1626028,1552599,95.48,3178627,95.48
"68","090102","BRIDGEPORT",172367,228316,-55949,-24.51,172367,-24.51
"69","090492","HARTFORD",197825,263594,-65769,-24.95,197825,-24.95
"70","090696","NEW BRITAIN",77768,129869,-52101,-40.12,0,-100
"71","090726","NEW HAVEN",182370,254027,-71657,-28.21,182370,-28.21
"72","091194","WATERBURY",116128,157097,-40969,-26.08,0,-100
"73","099999","CONNECTICUT STATE PROG",1093588,1830164,-736576,-40.25,1287484,-29.65
"74","100336","WILMINGTON",107874,168827,-60953,-36.1,0,-100
"75","109003","NEW CASTLE COUNTY",138112,162667,-24555,-15.1,138112,-15.1
"76","109999","DELAWARE STATE PROGRAM",107373,159378,-52005,-32.63,322621,102.42
"77","119999","WASHINGTON",1624610,1243053,381557,30.7,1624610,30.7
"78","120954","FT LAUDERDALE",187957,141450,46507,32.88,187957,32.88
"79","121236","HIALEAH",207858,287905,-80047,-27.8,207858,-27.8
"80","121968","MIAMI",514841,566623,-51782,-9.14,514841,-9.14
"81","122292","ORLANDO",270937,154767,116170,75.06,270937,75.06
"82","122724","ST PETERSBURG",390465,151623,238842,157.52,390465,157.52
"83","123000","TALLAHASSEE",174721,132364,42357,32,174721,32
"84","123012","TAMPA",933664,257042,676622,263.23,933664,263.23
"85","129011","BROWARD COUNTY",288395,251108,37287,14.85,288395,14.85
"86","129021","COLLIER COUNTY",170021,147830,22191,15.01,170021,15.01
"87","129031","JACKSONVILLE-DUVAL",815496,463472,352024,75.95,815496,75.95
"88","129033","ESCAMBIA COUNTY",215161,143123,72038,50.33,215161,50.33
"89","129057","HILLSBOROUGH COUNTY",1467264,410375,1056889,257.54,1467264,257.54
"90","129071","LEE COUNTY",186055,147852,38203,25.84,186055,25.84
"91","129086","MIAMI-DADE COUNTY",810831,1239473,-428642,-34.58,810831,-34.58
"92","129095","ORANGE COUNTY",672134,421513,250621,59.46,672134,59.46
"93","129099","PALM BEACH COUNTY",694130,465359,228771,49.16,694130,49.16
"94","129101","PASCO COUNTY",1200267,180020,1020247,566.74,1200267,566.74
"95","129103","PINELLAS COUNTY",508670,203941,304729,149.42,508670,149.42
"96","129105","POLK COUNTY",232004,203323,28681,14.11,232004,14.11
"97","129117","SEMINOLE COUNTY",252307,134183,118124,88.03,252307,88.03
"98","129127","VOLUSIA COUNTY",317536,132958,184578,138.82,317536,138.82
"99","129999","FLORIDA STATE PROGRAM",8550866,4676638,3874228,82.84,8550866,82.84
"100","130174","ATLANTA",934818,531333,403485,75.94,934818,75.94
"101","130192","AUGUSTA",177241,154988,22253,14.36,177241,14.36
"102","132916","SAVANNAH",263028,184044,78984,42.92,263028,42.92
"103","139063","CLAYTON COUNTY",177915,142556,35359,24.8,177915,24.8
"104","139067","COBB COUNTY",212230,223620,-11390,-5.09,212230,-5.09
"105","139089","DE KALB COUNTY",757524,393817,363707,92.35,757524,92.35
"106","139121","FULTON COUNTY",253757,138245,115512,83.56,253757,83.56
"107","139135","GWINNETT COUNTY",365684,288781,76903,26.63,365684,26.63
"108","139999","GEORGIA STATE PROGRAM",3997164,3559097,438067,12.31,3997164,12.31
"109","150144","HONOLULU",1560449,667223,893226,133.87,1560449,133.87
"110","159999","HAWAII STATE PROGRAM",545791,366661,179130,48.85,545791,48.85
"111","169999","IDAHO STATE PROGRAM",848942,842394,6548,0.78,848942,0.78
"112","171296","CHICAGO",2906577,5734205,-2827628,-49.31,2906577,-49.31
"113","172238","EVANSTON",52991,132633,-79642,-60.05,0,-100
"114","175154","OAK PARK",38849,130527,-91678,-70.24,0,-100
"115","175526","PEORIA",75344,132781,-57437,-43.26,0,-100
"116","176000","ROCKFORD",134599,144622,-10023,-6.93,134599,-6.93
"117","179031","COOK COUNTY",485606,675180,-189574,-28.08,485606,-28.08
"118","179043","DU PAGE COUNTY",234527,238672,-4145,-1.74,234527,-1.74
"119","179097","LAKE COUNTY",126725,175063,-48338,-27.61,126725,-27.61
"120","179999","ILLINOIS STATE PROGRAM",2504637,4482733,-1978096,-44.13,2671821,-40.4
"121","180954","EVANSVILLE",99960,203439,-103479,-50.86,0,-100
"122","181014","FORT WAYNE",96151,145992,-49841,-34.14,0,-100
"123","181104","GARY",123820,251017,-127197,-50.67,0,-100
"124","181272","HAMMOND",64283,159902,-95619,-59.8,0,-100
"125","181404","INDIANAPOLIS",558939,660217,-101278,-15.34,558939,-15.34
"126","182886","SOUTH BEND",88051,193445,-105394,-54.48,0,-100
"127","189999","INDIANA STATE PROGRAM",1694203,3151608,-1457405,-46.24,2166469,-31.26
"128","191362","DES MOINES",231956,293619,-61663,-21,231956,-21
"129","194812","SIOUX CITY",74865,131520,-56655,-43.08,0,-100
"130","199999","IOWA STATE PROGRAM",991803,2385019,-1393216,-58.42,1066668,-55.28
"131","201776","KANSAS CITY",145745,170827,-25082,-14.68,145745,-14.68
"132","203408","TOPEKA",112308,136731,-24423,-17.86,0,-100
"133","203696","WICHITA",177623,195284,-17661,-9.04,177623,-9.04
"134","209999","KANSAS STATE PROGRAM",648873,1413039,-764166,-54.08,761181,-46.13
"135","211314","LEXINGTON-FAYETTE",393807,144241,249566,173.02,393807,173.02
"136","211374","LOUISVILLE",511726,817595,-305869,-37.41,511726,-37.41
