"","UOGID","name","my_formula","allocation","formula_diff","pct_diff","rolled_up","pct_diff_rollup"
"1","010228","Birmingham",305222,404288,-99066,-24.5,305222,-24.5
"2","011542","Mobile",122529,156874,-34345,-21.89,122529,-21.89
"3","011560","Montgomery",114166,113148,1018,0.9,114166,0.9
"4","019073","Jefferson County",117295,119773,-2478,-2.07,117295,-2.07
"5","019097","Mobile County",84244,118270,-34026,-28.77,0,-100
"6","019999","Alabama Nonentitlement",1196195,1950825,-754630,-38.68,1280439,-34.36
"7","020078","Anchorage",278694,124916,153778,123.11,278694,123.11
"8","029999","Alaska Nonentitlement",288693,155478,133215,85.68,288693,85.68
"9","040186","Glendale",180097,151996,28101,18.49,180097,18.49
"10","040270","Mesa",243255,231723,11532,4.98,243255,4.98
"11","040330","Phoenix",1332925,1085513,247412,22.79,1332925,22.79
"12","040492","Tucson",540915,372387,168528,45.26,540915,45.26
"13","049013","Maricopa County",134128,164046,-29918,-18.24,134128,-18.24
"14","049019","Pima County",204107,176660,27447,15.54,204107,15.54
"15","049999","Arizona Nonentitlement",1235786,1203097,32689,2.72,1235786,2.72
"16","059999","Arkansas Nonentitlement",1570463,1709620,-139157,-8.14,1570463,-8.14
"17","060078","Anaheim",670894,297704,373190,125.36,670894,125.36
"18","060228","Bakersfield",219893,219426,467,0.21,219893,0.21
"19","060324","Berkeley",219595,168887,50708,30.02,219595,30.02
"20","060720","Chula Vista",253729,119795,133934,111.8,253729,111.8
"21","060804","Compton",221239,115678,105561,91.25,221239,91.25
"22","061152","El Monte",304410,143601,160809,111.98,304410,111.98
"23","061332","Fontana",113071,129064,-15993,-12.39,113071,-12.39
"24","061410","Fresno",842900,418009,424891,101.65,842900,101.65
"25","061440","Garden Grove",292357,141440,150917,106.7,292357,106.7
"26","061464","Glendale",241787,141386,100401,71.01,241787,71.01
"27","061740","Inglewood",263762,107819,155943,144.63,263762,144.63
"28","062088","Long Beach",1360537,441138,919399,208.42,1360537,208.42
"29","062118","Los Angeles",8946702,3842980,5103722,132.81,8946702,132.81
"30","062292","Modesto",194324,124300,70024,56.33,194324,56.33
"31","062367","Moreno Valley",200660,135581,65079,48,200660,48
"32","062508","Oakland",790552,529210,261342,49.38,790552,49.38
"33","062556","Ontario",133983,126332,7651,6.06,133983,6.06
"34","062622","Oxnard",329118,150512,178606,118.67,329118,118.67
"35","062724","Pasadena",325144,127931,197213,154.16,325144,154.16
"36","062850","Pomona",298815,148253,150562,101.56,298815,101.56
"37","063048","Riverside",381395,198661,182734,91.98,381395,91.98
"38","063144","Sacramento",481616,302145,179471,59.4,481616,59.4
"39","063162","Salinas",576045,137048,438997,320.32,576045,320.32
"40","063180","San Bernardino",232000,205136,26864,13.1,232000,13.1
"41","063210","San Diego",1999030,780817,1218213,156.02,1999030,156.02
"42","063228","San Francisco",2291183,1182146,1109037,93.82,2291183,93.82
"43","063258","San Jose",1700694,571972,1128722,197.34,1700694,197.34
"44","063342","Santa Ana",817553,414408,403145,97.28,817553,97.28
"45","063528","South Gate",231914,115332,116582,101.08,231914,101.08
"46","063624","Stockton",300494,226383,74111,32.74,300494,32.74
"47","069001","Alameda County",174889,109139,65750,60.24,174889,60.24
"48","069013","Contra Costa County",515193,201300,313893,155.93,515193,155.93
"49","069019","Fresno County",418123,218404,199719,91.44,418123,91.44
"50","069029","Kern County",336485,329388,7097,2.15,336485,2.15
"51","069037","Los Angeles County",3047352,1532729,1514623,98.82,3047352,98.82
"52","069059","Orange County",397486,219373,178113,81.19,397486,81.19
"53","069065","Riverside County",968245,472464,495781,104.94,968245,104.94
"54","069067","Sacramento County",441079,331470,109609,33.07,441079,33.07
"55","069071","San Bernardino County",428524,424051,4473,1.05,428524,1.05
"56","069073","San Diego County",534502,245444,289058,117.77,534502,117.77
"57","069077","San Joaquin County",168349,171741,-3392,-1.97,168349,-1.97
"58","069079","San Luis Obispo County",633871,120683,513188,425.24,633871,425.24
"59","069081","San Mateo County",396238,180874,215364,119.07,396238,119.07
"60","069083","Santa Barbara County",256890,113312,143578,126.71,256890,126.71
"61","069097","Sonoma County",778066,114372,663694,580.29,778066,580.29
"62","069099","Stanislaus County",212776,143917,68859,47.85,212776,47.85
