"","UOGID","name","my_formula","allocation","formula_diff","pct_diff","rolled_up","pct_diff_rollup"
"1","010228","Birmingham",251299,481528,-230229,-47.81,251299,-47.81
"2","011542","Mobile",137721,193122,-55401,-28.69,137721,-28.69
"3","011560","Montgomery",112089,139508,-27419,-19.65,0,-100
"4","019073","Jefferson County",140241,188997,-48756,-25.8,140241,-25.8
"5","019999","Alabama Nonentitlement",1455563,2572695,-1117132,-43.42,1567652,-39.07
"6","020078","Anchorage",367367,145198,222169,153.01,367367,153.01
"7","029999","Alaska Nonentitlement",363303,235176,128127,54.48,363303,54.48
"8","040186","Glendale",239265,204382,34883,17.07,239265,17.07
"9","040270","Mesa",311355,288990,22365,7.74,311355,7.74
"10","040330","Phoenix",1581228,1323382,257846,19.48,1581228,19.48
"11","040492","Tucson",522640,448878,73762,16.43,522640,16.43
"12","049013","Maricopa County",243814,249545,-5731,-2.3,243814,-2.3
"13","049019","Pima County",231061,233076,-2015,-0.86,231061,-0.86
"14","049999","Arizona Nonentitlement",1476280,1747908,-271628,-15.54,1476280,-15.54
"15","059999","Arkansas Nonentitlement",1496970,2071846,-574876,-27.75,1496970,-27.75
"16","060078","Anaheim",719846,365684,354162,96.85,719846,96.85
"17","060228","Bakersfield",230932,293680,-62748,-21.37,230932,-21.37
"18","060324","Berkeley",400286,219480,180806,82.38,400286,82.38
"19","060720","Chula Vista",415155,179761,235394,130.95,415155,130.95
"20","061152","El Monte",496691,143759,352932,245.5,496691,245.5
"21","061230","Escondido",359072,143015,216057,151.07,359072,151.07
"22","061332","Fontana",130288,166466,-36178,-21.73,0,-100
"23","061410","Fresno",678288,578163,100125,17.32,678288,17.32
"24","061440","Garden Grove",282203,168709,113494,67.27,282203,67.27
"25","061464","Glendale",248149,147107,101042,68.69,248149,68.69
"26","062088","Long Beach",1244070,496583,747487,150.53,1244070,150.53
"27","062118","Los Angeles",15542919,4448633,11094286,249.39,15542919,249.39
"28","062292","Modesto",286946,164535,122411,74.4,286946,74.4
"29","062367","Moreno Valley",146903,174726,-27823,-15.92,146903,-15.92
"30","062508","Oakland",1348781,628532,720249,114.59,1348781,114.59
"31","062556","Ontario",121739,156098,-34359,-22.01,0,-100
"32","062622","Oxnard",324613,196549,128064,65.16,324613,65.16
"33","062724","Pasadena",321566,158823,162743,102.47,321566,102.47
"34","062850","Pomona",577264,181281,395983,218.44,577264,218.44
"35","063048","Riverside",274268,275223,-955,-0.35,274268,-0.35
"36","063144","Sacramento",699366,399920,299446,74.88,699366,74.88
"37","063162","Salinas",651770,170830,480940,281.53,651770,281.53
"38","063180","San Bernardino",269384,275207,-5823,-2.12,269384,-2.12
"39","063210","San Diego",2427303,982411,1444892,147.08,2427303,147.08
"40","063228","San Francisco",3653237,1479175,2174062,146.98,3653237,146.98
"41","063258","San Jose",2522564,737828,1784736,241.89,2522564,241.89
"42","063342","Santa Ana",855292,475700,379592,79.8,855292,79.8
"43","063624","Stockton",376457,290376,86081,29.64,376457,29.64
"44","069001","Alameda County",346350,158448,187902,118.59,346350,118.59
"45","069013","Contra Costa County",660201,368211,291990,79.3,660201,79.3
"46","069019","Fresno County",282621,278824,3797,1.36,282621,1.36
"47","069029","Kern County",317954,366542,-48588,-13.26,317954,-13.26
"48","069037","Los Angeles County",5820068,1870616,3949452,211.13,5820068,211.13
"49","069059","Orange County",398711,215846,182865,84.72,398711,84.72
"50","069065","Riverside County",555635,678024,-122389,-18.05,555635,-18.05
"51","069067","Sacramento County",795301,461638,333663,72.28,795301,72.28
"52","069071","San Bernardino County",484375,586907,-102532,-17.47,484375,-17.47
"53","069073","San Diego County",746993,335938,411055,122.36,746993,122.36
"54","069077","San Joaquin County",245680,222298,23382,10.52,245680,10.52
"55","069079","San Luis Obispo County",460940,148036,312904,211.37,460940,211.37
"56","069081","San Mateo County",394126,205222,188904,92.05,394126,92.05
"57","069097","Sonoma County",651365,152599,498766,326.85,651365,326.85
"58","069099","Stanislaus County",323034,195964,127070,64.84,323034,64.84
"59","069111","Ventura County",223234,145872,77362,53.03,223234,53.03
"60","069999","California Nonentitlement",22477495,11776926,10700569,90.86,22729521,93
"61","080072","Aurora",397279,241052,156227,64.81,397279,64.81
"62","080288","Colorado Springs",441845,243746,198099,81.27,441845,81.27
"63","080390","Denver",871225,569662,301563,52.94,871225,52.94
"64","089999","Colorado Nonentitlement",2964162,1965723,998439,50.79,2964162,50.79
"65","090102","Bridgeport",164286,258173,-93887,-36.37,164286,-36.37
"66","090492","Hartford",204290,279651,-75361,-26.95,204290,-26.95
"67","090726","New Haven",166159,307289,-141130,-45.93,166159,-45.93
"68","091194","Waterbury",106038,175851,-69813,-39.7,0,-100
"69","099999","Connecticut Nonentitlement",1224303,2180513,-956210,-43.85,1330341,-38.99
"70","100336","Wilmington",117713,182956,-65243,-35.66,0,-100
"71","109003","New Castle County",159528,187215,-27687,-14.79,159528,-14.79
"72","109999","Delaware Nonentitlement",138410,201681,-63271,-31.37,256123,26.99
"73","119999","District Of Columbia",2183241,1241749,941492,75.82,2183241,75.82
"74","121236","Hialeah",231147,207078,24069,11.62,231147,11.62
"75","121968","Miami",565451,427775,137676,32.18,565451,32.18
"76","122292","Orlando",164851,167990,-3139,-1.87,164851,-1.87
"77","122724","St Petersburg",305963,146784,159179,108.44,305963,108.44
"78","123000","Tallahassee",211937,160982,50955,31.65,211937,31.65
"79","123012","Tampa",258275,251923,6352,2.52,258275,2.52
"80","129011","Broward County",255432,217454,37978,17.46,255432,17.46
"81","129021","Collier County",265144,191703,73441,38.31,265144,38.31
"82","129031","Jacksonville-Duval Count",591821,509671,82150,16.12,591821,16.12
"83","129057","Hillsborough County",484154,546769,-62615,-11.45,484154,-11.45
"84","129071","Lee County",167374,238555,-71181,-29.84,167374,-29.84
"85","129081","Manatee County",231154,148976,82178,55.16,231154,55.16
"86","129083","Marion County",215781,159716,56065,35.1,215781,35.1
"87","129086","Miami-Dade County",990831,1040107,-49276,-4.74,990831,-4.74
"88","129095","Orange County",446002,518950,-72948,-14.06,446002,-14.06
"89","129099","Palm Beach County",608016,524079,83937,16.02,608016,16.02
