"","UOGID","name","my_formula","allocation","formula_diff","pct_diff","rolled_up","pct_diff_rollup"
"1","010228","Birmingham",262988,515798,-252810,-49.01,262988,-49.01
"2","011542","Mobile",127862,208702,-80840,-38.73,0,-100
"3","011560","Montgomery",118660,146352,-27692,-18.92,0,-100
"4","019073","Jefferson County",143733,204775,-61042,-29.81,0,-100
"5","019999","Alabama Nonentitlement",1349746,2719098,-1369352,-50.36,1740001,-36.01
"6","020078","Anchorage",365971,151146,214825,142.13,365971,142.13
"7","029999","Alaska Nonentitlement",402023,265224,136799,51.58,402023,51.58
"8","040186","Glendale",287909,217342,70567,32.47,287909,32.47
"9","040270","Mesa",390661,327701,62960,19.21,390661,19.21
"10","040330","Phoenix",1858297,1442971,415326,28.78,1858297,28.78
"11","040468","Tempe",173603,146818,26785,18.24,173603,18.24
"12","040492","Tucson",526895,483655,43240,8.94,526895,8.94
"13","049013","Maricopa County",282813,262711,20102,7.65,282813,7.65
"14","049019","Pima County",234783,258818,-24035,-9.29,234783,-9.29
"15","049999","Arizona Nonentitlement",1587518,1725666,-138148,-8.01,1587518,-8.01
"16","059999","Arkansas Nonentitlement",1549878,2264323,-714445,-31.55,1549878,-31.55
"17","060078","Anaheim",846650,370931,475719,128.25,846650,128.25
"18","060228","Bakersfield",336030,326368,9662,2.96,336030,2.96
"19","060324","Berkeley",565696,234354,331342,141.39,565696,141.39
"20","060720","Chula Vista",427969,201139,226830,112.77,427969,112.77
"21","061152","El Monte",532762,150891,381871,253.08,532762,253.08
"22","061230","Escondido",393337,160313,233024,145.36,393337,145.36
"23","061332","Fontana",167007,179675,-12668,-7.05,167007,-7.05
"24","061410","Fresno",853566,610018,243548,39.92,853566,39.92
"25","061440","Garden Grove",355467,174721,180746,103.45,355467,103.45
"26","061464","Glendale",312096,165131,146965,89,312096,89
"27","061750","Irvine",280197,161837,118360,73.14,280197,73.14
"28","062088","Long Beach",1380052,535591,844461,157.67,1380052,157.67
"29","062118","Los Angeles",17257398,4688518,12568880,268.08,17257398,268.08
"30","062292","Modesto",325525,164549,160976,97.83,325525,97.83
"31","062367","Moreno Valley",169176,182943,-13767,-7.53,169176,-7.53
"32","062508","Oakland",1861446,660016,1201430,182.03,1861446,182.03
"33","062556","Ontario",154008,160290,-6282,-3.92,154008,-3.92
"34","062622","Oxnard",463776,221083,242693,109.77,463776,109.77
"35","062724","Pasadena",346140,176398,169742,96.23,346140,96.23
"36","062850","Pomona",635291,182448,452843,248.2,635291,248.2
"37","063048","Riverside",303554,280915,22639,8.06,303554,8.06
"38","063144","Sacramento",993499,421643,571856,135.63,993499,135.63
"39","063162","Salinas",615889,179001,436888,244.07,615889,244.07
"40","063180","San Bernardino",332754,295799,36955,12.49,332754,12.49
"41","063210","San Diego",2288192,1043517,1244675,119.28,2288192,119.28
"42","063228","San Francisco",4222065,1595423,2626642,164.64,4222065,164.64
"43","063258","San Jose",3177555,778209,2399346,308.32,3177555,308.32
"44","063342","Santa Ana",1119059,500947,618112,123.39,1119059,123.39
"45","063624","Stockton",585038,292582,292456,99.96,585038,99.96
"46","069001","Alameda County",503733,180499,323234,179.08,503733,179.08
