"","UOGID","name","my_formula","allocation","formula_diff","pct_diff","rolled_up","pct_diff_rollup"
"1","010228","Birmingham",458168,521460,-63292,-12.14,458168,-12.14
"2","011542","Mobile",176126,225814,-49688,-22,176126,-22
"3","011560","Montgomery",145831,163071,-17240,-10.57,145831,-10.57
"4","019073","Jefferson County",173519,160259,13260,8.27,173519,8.27
"5","019097","Mobile County",116274,155141,-38867,-25.05,0,-100
"6","019999","Alabama Nonentitlement",1520927,2633275,-1112348,-42.24,1637200,-37.83
"7","020078","Anchorage",389014,147888,241126,163.05,389014,163.05
"8","029999","Alaska Nonentitlement",421800,228007,193793,84.99,421800,84.99
"9","040186","Glendale",231058,174160,56898,32.67,231058,32.67
"10","040270","Mesa",310515,268926,41589,15.46,310515,15.46
"11","040330","Phoenix",1705737,1339782,365955,27.31,1705737,27.31
"12","040492","Tucson",773098,484731,288367,59.49,773098,59.49
"13","049013","Maricopa County",168376,178300,-9924,-5.57,168376,-5.57
"14","049019","Pima County",294512,208832,85680,41.03,294512,41.03
"15","049999","Arizona Nonentitlement",1534100,1615732,-81632,-5.05,1534100,-5.05
"16","059999","Arkansas Nonentitlement",1809819,2166647,-356828,-16.47,1809819,-16.47
"17","060078","Anaheim",900050,389204,510846,131.25,900050,131.25
"18","060228","Bakersfield",299421,262778,36643,13.94,299421,13.94
"19","060324","Berkeley",290841,254641,36200,14.22,290841,14.22
"20","060720","Chula Vista",328407,157069,171338,109.08,328407,109.08
"21","060804","Compton",308877,161009,147868,91.84,308877,91.84
"22","061152","El Monte",423642,210838,212804,100.93,423642,100.93
"23","061332","Fontana",161275,165289,-4014,-2.43,161275,-2.43
"24","061410","Fresno",1203272,596740,606532,101.64,1203272,101.64
"25","061440","Garden Grove",389661,202955,186706,91.99,389661,91.99
"26","061464","Glendale",354931,255394,99537,38.97,354931,38.97
"27","061740","Inglewood",366065,174077,191988,110.29,366065,110.29
"28","062088","Long Beach",1830500,675971,1154529,170.8,1830500,170.8
"29","062118","Los Angeles",12372831,5592274,6780557,121.25,12372831,121.25
"30","062292","Modesto",258822,182643,76179,41.71,258822,41.71
"31","062508","Oakland",1050645,656315,394330,60.08,1050645,60.08
"32","062556","Ontario",190860,189104,1756,0.93,190860,0.93
"33","062622","Oxnard",415178,214100,201078,93.92,415178,93.92
"34","062724","Pasadena",565547,178059,387488,217.62,565547,217.62
"35","062850","Pomona",416267,220994,195273,88.36,416267,88.36
"36","063048","Riverside",528564,262902,265662,101.05,528564,101.05
"37","063144","Sacramento",585730,452693,133037,29.39,585730,29.39
"38","063162","Salinas",765599,192489,573110,297.74,765599,297.74
"39","063180","San Bernardino",328267,280971,47296,16.83,328267,16.83
"40","063210","San Diego",2593385,1177964,1415421,120.16,2593385,120.16
"41","063228","San Francisco",3005956,1609318,1396638,86.78,3005956,86.78
"42","063258","San Jose",1895180,792456,1102724,139.15,1895180,139.15
"43","063342","Santa Ana",1089112,538354,550758,102.3,1089112,102.3
"44","063528","South Gate",323658,164142,159516,97.18,323658,97.18
"45","063624","Stockton",517378,327098,190280,58.17,517378,58.17
"46","069001","Alameda County",232484,152261,80223,52.69,232484,52.69
"47","069013","Contra Costa County",694944,270062,424882,157.33,694944,157.33
"48","069019","Fresno County",599894,310687,289207,93.09,599894,93.09
"49","069029","Kern County",462256,412767,49489,11.99,462256,11.99
"50","069037","Los Angeles County",4211691,2311484,1900207,82.21,4211691,82.21
"51","069059","Orange County",526043,293594,232449,79.17,526043,79.17
"52","069065","Riverside County",1238565,696668,541897,77.78,1238565,77.78
"53","069067","Sacramento County",532058,454384,77674,17.09,532058,17.09
"54","069071","San Bernardino County",608380,555475,52905,9.52,608380,9.52
"55","069073","San Diego County",678969,367641,311328,84.68,678969,84.68
"56","069077","San Joaquin County",302485,218743,83742,38.28,302485,38.28
"57","069079","San Luis Obispo County",852380,163420,688960,421.59,852380,421.59
"58","069081","San Mateo County",539702,222010,317692,143.1,539702,143.1
"59","069083","Santa Barbara County",360132,157639,202493,128.45,360132,128.45
"60","069097","Sonoma County",902757,154820,747937,483.1,902757,483.1
"61","069099","Stanislaus County",278881,198932,79949,40.19,278881,40.19
"62","069111","Ventura County",281914,156399,125515,80.25,281914,80.25
"63","069999","California Nonentitlement",19324262,12315080,7009182,56.92,19324262,56.92
