"","UOGID","name","my_formula","allocation","formula_diff","pct_diff","rolled_up","pct_diff_rollup"
"1","010228","Birmingham",304760,487182,-182422,-37.44,304760,-37.44
"2","011542","Mobile",144167,198633,-54466,-27.42,144167,-27.42
"3","011560","Montgomery",137219,144660,-7441,-5.14,137219,-5.14
"4","019073","Jefferson County",143107,155686,-12579,-8.08,143107,-8.08
"5","019097","Mobile County",95208,140590,-45382,-32.28,0,-100
"6","019999","Alabama Nonentitlement",1488706,2524294,-1035588,-41.02,1583914,-37.25
"7","020078","Anchorage",343768,150740,193028,128.05,343768,128.05
"8","029999","Alaska Nonentitlement",367749,215620,152129,70.55,367749,70.55
"9","040186","Glendale",213396,185448,27948,15.07,213396,15.07
"10","040270","Mesa",290141,282825,7316,2.59,290141,2.59
"11","040330","Phoenix",1517197,1305385,211812,16.23,1517197,16.23
"12","040492","Tucson",636511,455833,180678,39.64,636511,39.64
"13","049013","Maricopa County",213072,236068,-22996,-9.74,213072,-9.74
"14","049019","Pima County",271536,222739,48797,21.91,271536,21.91
"15","049999","Arizona Nonentitlement",1583062,1545994,37068,2.4,1583062,2.4
"16","059999","Arkansas Nonentitlement",1674129,2119435,-445306,-21.01,1674129,-21.01
"17","060078","Anaheim",677069,377598,299471,79.31,677069,79.31
"18","060228","Bakersfield",223122,285348,-62226,-21.81,223122,-21.81
"19","060324","Berkeley",292853,222546,70307,31.59,292853,31.59
"20","060720","Chula Vista",337602,153270,184332,120.27,337602,120.27
"21","060804","Compton",328905,136865,192040,140.31,328905,140.31
"22","061152","El Monte",404884,161354,243530,150.93,404884,150.93
"23","061332","Fontana",149115,166238,-17123,-10.3,149115,-10.3
"24","061410","Fresno",769844,559850,209994,37.51,769844,37.51
"25","061440","Garden Grove",264734,175880,88854,50.52,264734,50.52
"26","061464","Glendale",307494,155799,151695,97.37,307494,97.37
"27","062088","Long Beach",1644609,509063,1135546,223.07,1644609,223.07
"28","062118","Los Angeles",12623771,4554073,8069698,177.2,12623771,177.2
"29","062292","Modesto",221921,167909,54012,32.17,221921,32.17
"30","062367","Moreno Valley",177601,175624,1977,1.13,177601,1.13
"31","062508","Oakland",1075570,650276,425294,65.4,1075570,65.4
"32","062556","Ontario",144125,160673,-16548,-10.3,144125,-10.3
"33","062622","Oxnard",377021,191219,185802,97.17,377021,97.17
"34","062724","Pasadena",382310,160034,222276,138.89,382310,138.89
"35","062850","Pomona",448550,180540,268010,148.45,448550,148.45
"36","063048","Riverside",296576,265718,30858,11.61,296576,11.61
"37","063144","Sacramento",505422,380592,124830,32.8,505422,32.8
"38","063162","Salinas",671436,177842,493594,277.55,671436,277.55
"39","063180","San Bernardino",322758,280970,41788,14.87,322758,14.87
"40","063210","San Diego",2315940,978583,1337357,136.66,2315940,136.66
"41","063228","San Francisco",3493108,1482125,2010983,135.68,3493108,135.68
"42","063258","San Jose",2487947,725731,1762216,242.82,2487947,242.82
"43","063342","Santa Ana",747199,495616,251583,50.76,747199,50.76
"44","063624","Stockton",354721,295268,59453,20.14,354721,20.14
"45","069001","Alameda County",241134,141294,99840,70.66,241134,70.66
"46","069013","Contra Costa County",718988,265324,453664,170.99,718988,170.99
"47","069019","Fresno County",341756,283025,58731,20.75,341756,20.75
"48","069029","Kern County",349433,414889,-65456,-15.78,349433,-15.78
"49","069037","Los Angeles County",4450228,1879396,2570832,136.79,4450228,136.79
"50","069059","Orange County",373601,271224,102377,37.75,373601,37.75
"51","069065","Riverside County",611524,628928,-17404,-2.77,611524,-2.77
"52","069067","Sacramento County",541777,429246,112531,26.22,541777,26.22
"53","069071","San Bernardino County",552632,538992,13640,2.53,552632,2.53
"54","069073","San Diego County",637733,320225,317508,99.15,637733,99.15
"55","069077","San Joaquin County",227315,215886,11429,5.29,227315,5.29
"56","069079","San Luis Obispo County",1040715,145085,895630,617.31,1040715,617.31
"57","069081","San Mateo County",557195,213368,343827,161.14,557195,161.14
"58","069097","Sonoma County",947423,144160,803263,557.2,947423,557.2
"59","069099","Stanislaus County",229330,190669,38661,20.28,229330,20.28
"60","069111","Ventura County",250008,136542,113466,83.1,250008,83.1
"61","069999","California Nonentitlement",20163545,11651365,8512180,73.06,20163545,73.06
"62","080072","Aurora",348727,241713,107014,44.27,348727,44.27
"63","080288","Colorado Springs",369681,228195,141486,62,369681,62
"64","080390","Denver",903501,611476,292025,47.76,903501,47.76
