"","UOGID","name","my_formula","allocation","formula_diff","pct_diff","rolled_up","pct_diff_rollup"
"1","010228","Birmingham",315157,664122,-348965,-52.55,315157,-52.55
"2","011542","Mobile",161559,363083,-201524,-55.5,161559,-55.5
"3","011560","Montgomery",133271,336140,-202869,-60.35,0,-100
"4","019073","Jefferson County",160326,184084,-23758,-12.91,160326,-12.91
"5","019999","Alabama Nonentitlement",1782126,2754579,-972453,-35.3,1915397,-30.46
"6","020078","Anchorage",442743,277946,164797,59.29,442743,59.29
"7","029999","Alaska Nonentitlement",457314,230448,226866,98.45,457314,98.45
"8","040186","Glendale",255705,198131,57574,29.06,255705,29.06
"9","040270","Mesa",368558,290296,78262,26.96,368558,26.96
"10","040330","Phoenix",1786325,1306973,479352,36.68,1786325,36.68
"11","040492","Tucson",638891,1001122,-362231,-36.18,638891,-36.18
"12","049013","Maricopa County",274164,246275,27889,11.32,274164,11.32
"13","049019","Pima County",277292,235286,42006,17.85,277292,17.85
"14","049999","Arizona Nonentitlement",1857654,1991483,-133829,-6.72,1857654,-6.72
"15","059999","Arkansas Nonentitlement",1716891,2383028,-666137,-27.95,1716891,-27.95
"16","060078","Anaheim",800326,371956,428370,115.17,800326,115.17
"17","060228","Bakersfield",293285,292879,406,0.14,293285,0.14
"18","060324","Berkeley",346640,222915,123725,55.5,346640,55.5
"19","060720","Chula Vista",427110,172909,254201,147.01,427110,147.01
"20","061152","El Monte",517278,152304,364974,239.63,517278,239.63
"21","061230","Escondido",378026,136391,241635,177.16,378026,177.16
"22","061332","Fontana",154441,169910,-15469,-9.1,0,-100
"23","061410","Fresno",750958,569903,181055,31.77,750958,31.77
"24","061440","Garden Grove",308760,173899,134861,77.55,308760,77.55
"25","061464","Glendale",312065,147970,164095,110.9,312065,110.9
"26","062088","Long Beach",1625058,491233,1133825,230.81,1625058,230.81
"27","062118","Los Angeles",16348517,4478369,11870148,265.06,16348517,265.06
"28","062292","Modesto",309870,168471,141399,83.93,309870,83.93
"29","062367","Moreno Valley",168543,174002,-5459,-3.14,168543,-3.14
"30","062508","Oakland",1245122,637106,608016,95.43,1245122,95.43
"31","062556","Ontario",152073,157628,-5555,-3.52,0,-100
"32","062622","Oxnard",403984,198164,205820,103.86,403984,103.86
"33","062724","Pasadena",367311,161517,205794,127.41,367311,127.41
"34","062850","Pomona",596355,178441,417914,234.2,596355,234.2
"35","063048","Riverside",316783,276268,40515,14.67,316783,14.67
"36","063144","Sacramento",612113,397932,214181,53.82,612113,53.82
"37","063162","Salinas",772230,447820,324410,72.44,772230,72.44
"38","063180","San Bernardino",330739,283454,47285,16.68,330739,16.68
"39","063210","San Diego",2711669,981051,1730618,176.4,2711669,176.4
"40","063228","San Francisco",4289320,1484181,2805139,189,4289320,189
"41","063258","San Jose",2689855,755329,1934526,256.12,2689855,256.12
"42","063342","Santa Ana",923873,475909,447964,94.13,923873,94.13
"43","063624","Stockton",451377,890549,-439172,-49.31,451377,-49.31
"44","069001","Alameda County",318024,150657,167367,111.09,318024,111.09
"45","069013","Contra Costa County",802186,365299,436887,119.6,802186,119.6
"46","069019","Fresno County",315272,279195,36077,12.92,315272,12.92
"47","069029","Kern County",414612,355936,58676,16.49,414612,16.49
"48","069037","Los Angeles County",5983291,1868101,4115190,220.29,5983291,220.29
"49","069059","Orange County",436206,215408,220798,102.5,436206,102.5
"50","069065","Riverside County",599565,995682,-396117,-39.78,599565,-39.78
"51","069067","Sacramento County",705355,459029,246326,53.66,705355,53.66
"52","069071","San Bernardino County",583038,586074,-3036,-0.52,583038,-0.52
"53","069073","San Diego County",801424,331823,469601,141.52,801424,141.52
"54","069077","San Joaquin County",306980,213082,93898,44.07,306980,44.07
"55","069079","San Luis Obispo County",645069,150158,494911,329.59,645069,329.59
"56","069081","San Mateo County",498511,206692,291819,141.19,498511,141.19
"57","069097","Sonoma County",757159,149323,607836,407.06,757159,407.06
"58","069099","Stanislaus County",342596,765404,-422808,-55.24,342596,-55.24
"59","069111","Ventura County",264027,140556,123471,87.84,264027,87.84
"60","069999","California Nonentitlement",24180991,12006375,12174616,101.4,24487505,103.95
"61","080072","Aurora",441159,245303,195856,79.84,441159,79.84
"62","080288","Colorado Springs",474816,238307,236509,99.25,474816,99.25
"63","080390","Denver",972079,587977,384102,65.33,972079,65.33
"64","089999","Colorado Nonentitlement",3208754,2398397,810357,33.79,3208754,33.79
"65","090102","Bridgeport",206747,248389,-41642,-16.76,206747,-16.76
"66","090492","Hartford",253896,282368,-28472,-10.08,253896,-10.08
"67","090726","New Haven",235871,309208,-73337,-23.72,235871,-23.72
"68","091194","Waterbury",134993,172597,-37604,-21.79,0,-100
"69","099999","Connecticut Nonentitlement",1530552,2180911,-650359,-29.82,1665545,-23.63
"70","100336","Wilmington",145152,182615,-37463,-20.51,0,-100
"71","109003","New Castle County",197990,188829,9161,4.85,197990,4.85
"72","109999","Delaware Nonentitlement",161074,203939,-42865,-21.02,306226,50.16
"73","119999","District Of Columbia",2662314,1240411,1421903,114.63,2662314,114.63
"74","121236","Hialeah",270174,199376,70798,35.51,270174,35.51
"75","121968","Miami",681148,424243,256905,60.56,681148,60.56
"76","122292","Orlando",167098,162256,4842,2.98,167098,2.98
"77","122724","St Petersburg",352869,144659,208210,143.93,352869,143.93
"78","123000","Tallahassee",239332,159895,79437,49.68,239332,49.68
"79","123012","Tampa",328984,247019,81965,33.18,328984,33.18
"80","129011","Broward County",265368,209052,56316,26.94,265368,26.94
"81","129021","Collier County",269809,183318,86491,47.18,269809,47.18
"82","129031","Jacksonville-Duval Count",723326,840901,-117575,-13.98,723326,-13.98
"83","129033","Escambia County",193425,144059,49366,34.27,193425,34.27
"84","129057","Hillsborough County",634182,743148,-108966,-14.66,634182,-14.66
"85","129071","Lee County",184180,605383,-421203,-69.58,184180,-69.58
"86","129081","Manatee County",268379,146534,121845,83.15,268379,83.15
"87","129083","Marion County",284556,161964,122592,75.69,284556,75.69
"88","129086","Miami-Dade County",1171673,5097790,-3926117,-77.02,1171673,-77.02
"89","129095","Orange County",411357,502071,-90714,-18.07,411357,-18.07
"90","129099","Palm Beach County",647540,519046,128494,24.76,647540,24.76
"91","129101","Pasco County",494719,227467,267252,117.49,494719,117.49
"92","129103","Pinellas County",530513,222856,307657,138.05,530513,138.05
"93","129105","Polk County",252121,265784,-13663,-5.14,252121,-5.14
"94","129115","Sarasota County",255619,141726,113893,80.36,255619,80.36
"95","129117","Seminole County",100430,148985,-48555,-32.59,0,-100
"96","129127","Volusia County",230693,153179,77514,50.6,230693,50.6
"97","129999","Florida Nonentitlement",8102791,5183540,2919251,56.32,8203221,58.26
"98","130174","Atlanta",1455885,901503,554382,61.5,1455885,61.5
"99","130192","Augusta-Richmond County",152916,150876,2040,1.35,0,-100
"100","131968","Macon",113682,140219,-26537,-18.93,0,-100
"101","132916","Savannah",340449,823801,-483352,-58.67,340449,-58.67
"102","139063","Clayton County",215102,207974,7128,3.43,215102,3.43
"103","139067","Cobb County",224860,282094,-57234,-20.29,224860,-20.29
"104","139089","De Kalb County",410616,426683,-16067,-3.77,410616,-3.77
"105","139121","Fulton County",187689,180601,7088,3.92,187689,3.92
"106","139135","Gwinnett County",448912,467233,-18321,-3.92,448912,-3.92
"107","139999","Georgia Nonentitlement",3653602,5123930,-1470328,-28.7,3920199,-23.49
"108","150144","Honolulu",2593353,1937791,655562,33.83,2593353,33.83
"109","159999","Hawaii Nonentitlement",1379747,437204,942543,215.58,1379747,215.58
"110","169999","Idaho Nonentitlement",1146692,1555887,-409195,-26.3,1146692,-26.3
"111","171296","Chicago",3835529,6501824,-2666295,-41.01,3835529,-41.01
"112","171332","Cicero",86339,136806,-50467,-36.89,0,-100
"113","172238","Evanston",55445,144334,-88889,-61.59,0,-100
"114","175154","Oak Park",39418,136947,-97529,-71.22,0,-100
"115","175526","Peoria",91640,137451,-45811,-33.33,0,-100
"116","176000","Rockford",117898,182521,-64623,-35.41,0,-100
"117","179031","Cook County",675050,1336110,-661060,-49.48,675050,-49.48
"118","179043","Du Page County",341728,285654,56074,19.63,341728,19.63
"119","179097","Lake County",172788,376463,-203675,-54.1,172788,-54.1
"120","179197","Will County",103205,140771,-37566,-26.69,0,-100
"121","179999","Illinois Nonentitlement",2641903,5594009,-2952106,-52.77,3135847,-43.94
"122","180954","Evansville",112570,220629,-108059,-48.98,0,-100
"123","181014","Fort Wayne",129933,169790,-39857,-23.47,0,-100
"124","181104","Gary",121368,270715,-149347,-55.17,0,-100
"125","181272","Hammond",76185,174804,-98619,-56.42,0,-100
"126","181404","Indianapolis",764816,1350303,-585487,-43.36,764816,-43.36
"127","182886","South Bend",91453,377344,-285891,-75.76,0,-100
"128","189999","Indiana Nonentitlement",2065110,4642725,-2577615,-55.52,2596620,-44.07
"129","191362","Des Moines",249172,304561,-55389,-18.19,249172,-18.19
"130","194812","Sioux City",105542,279715,-174173,-62.27,0,-100
"131","199999","Iowa Nonentitlement",1319508,2757608,-1438100,-52.15,1425050,-48.32
"132","201776","Kansas City",174355,181044,-6689,-3.69,174355,-3.69
"133","203408","Topeka",150427,261261,-110834,-42.42,0,-100
"134","203696","Wichita",270494,560068,-289574,-51.7,270494,-51.7
"135","209999","Kansas Nonentitlement",909668,1564753,-655085,-41.87,1060095,-32.25
"136","211314","Lexington-Fayette",405431,186664,218767,117.2,405431,117.2
"137","211374","Louisville",571754,1478479,-906725,-61.33,571754,-61.33
"138","219999","Kentucky Nonentitlement",1523885,3119879,-1595994,-51.16,1523885,-51.16
"139","220126","Baton Rouge",193399,459176,-265777,-57.88,193399,-57.88
"140","221296","New Orleans",642347,1016136,-373789,-36.79,642347,-36.79
"141","221650","Shreveport",148628,143082,5546,3.88,0,-100
"142","229051","Jefferson Parish",199124,220204,-21080,-9.57,199124,-9.57
"143","229999","Louisiana Nonentitlement",1447749,2970487,-1522738,-51.26,1596377,-46.26
"144","232484","Portland",111371,161280,-49909,-30.95,0,-100
"145","239999","Maine Nonentitlement",865822,1311285,-445463,-33.97,977193,-25.48
"146","240066","Baltimore",1199043,3781204,-2582161,-68.29,1199043,-68.29
"147","249003","Anne Arundel County",168792,163603,5189,3.17,168792,3.17
"148","249005","Baltimore County",494723,324469,170254,52.47,494723,52.47
