"","UOGID","name","my_formula","allocation","formula_diff","pct_diff","rolled_up","pct_diff_rollup"
"1","010228","Birmingham",242364,499041,-256677,-51.43,242364,-51.43
"2","011542","Mobile",135189,199149,-63960,-32.12,0,-100
"3","011560","Montgomery",125371,149024,-23653,-15.87,0,-100
"4","019073","Jefferson County",138669,199869,-61200,-30.62,0,-100
"5","019999","Alabama Nonentitlement",1485173,2639097,-1153924,-43.72,1884403,-28.6
"6","020078","Anchorage",353308,146461,206847,141.23,353308,141.23
"7","029999","Alaska Nonentitlement",435116,250712,184404,73.55,435116,73.55
"8","040186","Glendale",270201,210024,60177,28.65,270201,28.65
"9","040270","Mesa",366738,308423,58315,18.91,366738,18.91
"10","040330","Phoenix",1817905,1391815,426090,30.61,1817905,30.61
"11","040492","Tucson",534960,468288,66672,14.24,534960,14.24
"12","049013","Maricopa County",279493,251836,27657,10.98,279493,10.98
"13","049019","Pima County",232970,246397,-13427,-5.45,232970,-5.45
"14","049999","Arizona Nonentitlement",1788332,1835776,-47444,-2.58,1788332,-2.58
"15","059999","Arkansas Nonentitlement",1622682,2162085,-539403,-24.95,1622682,-24.95
"16","060078","Anaheim",740670,361359,379311,104.97,740670,104.97
"17","060228","Bakersfield",265998,308712,-42714,-13.84,265998,-13.84
"18","060324","Berkeley",370199,227398,142801,62.8,370199,62.8
"19","060720","Chula Vista",427591,194238,233353,120.14,427591,120.14
"20","061152","El Monte",498986,146757,352229,240.01,498986,240.01
"21","061230","Escondido",393265,152010,241255,158.71,393265,158.71
"22","061332","Fontana",152374,177282,-24908,-14.05,152374,-14.05
"23","061410","Fresno",764569,585863,178706,30.5,764569,30.5
"24","061440","Garden Grove",308370,177733,130637,73.5,308370,73.5
"25","061464","Glendale",317019,157192,159827,101.68,317019,101.68
"26","061750","Irvine",214049,144115,69934,48.53,214049,48.53
"27","062088","Long Beach",1360302,517562,842740,162.83,1360302,162.83
"28","062118","Los Angeles",15696385,4552484,11143901,244.79,15696385,244.79
"29","062292","Modesto",257611,170023,87588,51.52,257611,51.52
"30","062367","Moreno Valley",153616,178214,-24598,-13.8,153616,-13.8
"31","062508","Oakland",1276227,643541,632686,98.31,1276227,98.31
"32","062556","Ontario",136100,156918,-20818,-13.27,0,-100
"33","062622","Oxnard",337967,212361,125606,59.15,337967,59.15
"34","062724","Pasadena",397311,168431,228880,135.89,397311,135.89
"35","062850","Pomona",612633,183894,428739,233.14,612633,233.14
"36","063048","Riverside",289193,278459,10734,3.85,289193,3.85
"37","063144","Sacramento",742903,412742,330161,79.99,742903,79.99
"38","063162","Salinas",684866,177658,507208,285.5,684866,285.5
"39","063180","San Bernardino",315868,286534,29334,10.24,315868,10.24
"40","063210","San Diego",2304744,1005803,1298941,129.14,2304744,129.14
"41","063228","San Francisco",2915715,1539152,1376563,89.44,2915715,89.44
"42","063258","San Jose",2594049,757502,1836547,242.45,2594049,242.45
"43","063342","Santa Ana",963643,493582,470061,95.23,963643,95.23
"44","063624","Stockton",418010,292889,125121,42.72,418010,42.72
"45","069001","Alameda County",367495,169893,197602,116.31,367495,116.31
"46","069013","Contra Costa County",829446,394663,434783,110.17,829446,110.17
"47","069019","Fresno County",323396,239466,83930,35.05,323396,35.05
"48","069029","Kern County",373150,409344,-36194,-8.84,373150,-8.84
"49","069037","Los Angeles County",6079838,1887127,4192711,222.17,6079838,222.17
"50","069059","Orange County",416727,220824,195903,88.71,416727,88.71
"51","069065","Riverside County",608138,613342,-5204,-0.85,608138,-0.85
"52","069067","Sacramento County",841103,484844,356259,73.48,841103,73.48
