"","UOGID","name","my_formula","allocation","formula_diff","pct_diff","rolled_up","pct_diff_rollup"
"94","129103","Pinellas County",513072,216740,296332,136.72,513072,136.72
"95","129105","Polk County",195501,268683,-73182,-27.24,195501,-27.24
"96","129115","Sarasota County",181424,139763,41661,29.81,181424,29.81
"97","129117","Seminole County",115893,150470,-34577,-22.98,0,-100
"98","129127","Volusia County",245245,153603,91642,59.66,245245,59.66
"99","129999","Florida Nonentitlement",7531191,5098790,2432401,47.71,7647084,49.98
"100","130174","Atlanta",1341163,605049,736114,121.66,1341163,121.66
"101","130192","Augusta-Richmond County",174445,152133,22312,14.67,174445,14.67
"102","131968","Macon",99768,137517,-37749,-27.45,0,-100
"103","132916","Savannah",299060,189647,109413,57.69,299060,57.69
"104","139063","Clayton County",175726,201035,-25309,-12.59,175726,-12.59
"105","139067","Cobb County",188586,272208,-83622,-30.72,188586,-30.72
"106","139089","De Kalb County",402012,427116,-25104,-5.88,402012,-5.88
"107","139121","Fulton County",146010,178159,-32149,-18.05,146010,-18.05
"108","139135","Gwinnett County",391275,472648,-81373,-17.22,391275,-17.22
"109","139999","Georgia Nonentitlement",3201786,4194121,-992335,-23.66,3301554,-21.28
"110","150144","Honolulu",2187106,655892,1531214,233.46,2187106,233.46
"111","159999","Hawaii Nonentitlement",1096819,439415,657404,149.61,1096819,149.61
"112","169999","Idaho Nonentitlement",851218,1021185,-169967,-16.64,851218,-16.64
"113","171296","Chicago",3604404,6524439,-2920035,-44.76,3604404,-44.76
"114","171332","Cicero",70160,138745,-68585,-49.43,0,-100
"115","172238","Evanston",45907,144459,-98552,-68.22,0,-100
"116","175154","Oak Park",35066,135513,-100447,-74.12,0,-100
"117","175526","Peoria",89965,139993,-50028,-35.74,0,-100
"118","176000","Rockford",110129,185376,-75247,-40.59,0,-100
"119","179031","Cook County",535905,814055,-278150,-34.17,535905,-34.17
"120","179043","Du Page County",291179,288711,2468,0.85,291179,0.85
"121","179097","Lake County",163564,217190,-53626,-24.69,163564,-24.69
"122","179197","Will County",84153,138203,-54050,-39.11,0,-100
"123","179999","Illinois Nonentitlement",2347900,4713992,-2366092,-50.19,2783281,-40.96
"124","180954","Evansville",101226,220282,-119056,-54.05,0,-100
"125","181014","Fort Wayne",107243,173640,-66397,-38.24,0,-100
"126","181104","Gary",109445,276538,-167093,-60.42,0,-100
"127","181272","Hammond",63222,176903,-113681,-64.26,0,-100
"128","181404","Indianapolis",666054,739279,-73225,-9.9,666054,-9.9
"129","182886","South Bend",80917,211014,-130097,-61.65,0,-100
"130","189999","Indiana Nonentitlement",1735430,3636551,-1901121,-52.28,2197482,-39.57
"131","191362","Des Moines",231170,309179,-78009,-25.23,231170,-25.23
"132","194812","Sioux City",77788,135218,-57430,-42.47,0,-100
"133","199999","Iowa Nonentitlement",1140504,2523830,-1383326,-54.81,1218292,-51.73
"134","201776","Kansas City",146688,182274,-35586,-19.52,146688,-19.52
"135","203408","Topeka",140831,149571,-8740,-5.84,140831,-5.84
"136","203696","Wichita",227150,237011,-9861,-4.16,227150,-4.16
"137","209999","Kansas Nonentitlement",843986,1565179,-721193,-46.08,843986,-46.08
"138","211314","Lexington-Fayette",396143,184355,211788,114.88,396143,114.88
"139","211374","Louisville",485625,927562,-441937,-47.65,485625,-47.65
"140","219999","Kentucky Nonentitlement",1345608,2397901,-1052293,-43.88,1345608,-43.88
"141","220126","Baton Rouge",165275,262197,-96922,-36.97,165275,-36.97
"142","221296","New Orleans",568187,1019132,-450945,-44.25,568187,-44.25
"143","221650","Shreveport",117130,140060,-22930,-16.37,0,-100
"144","229051","Jefferson Parish",176966,217959,-40993,-18.81,176966,-18.81
"145","229999","Louisiana Nonentitlement",1280676,2315707,-1035031,-44.7,1397806,-39.64
"146","232484","Portland",97591,161232,-63641,-39.47,0,-100
