"","UOGID","name","my_formula","allocation","formula_diff","pct_diff","rolled_up","pct_diff_rollup"
"1","010228","Birmingham",304676,453937,-149261,-32.88,304676,-32.88
"2","011542","Mobile",121100,183790,-62690,-34.11,0,-100
"3","011560","Montgomery",134067,135350,-1283,-0.95,134067,-0.95
"4","019073","Jefferson County",129802,143468,-13666,-9.53,129802,-9.53
"5","019097","Mobile County",83928,134250,-50322,-37.48,0,-100
"6","019999","Alabama Nonentitlement",1377821,2315912,-938091,-40.51,1582848,-31.65
"7","020078","Anchorage",334937,143987,190950,132.62,334937,132.62
"8","029999","Alaska Nonentitlement",350947,198264,152683,77.01,350947,77.01
"9","040186","Glendale",198328,169835,28493,16.78,198328,16.78
"10","040270","Mesa",266864,257074,9790,3.81,266864,3.81
"11","040330","Phoenix",1423255,1201782,221473,18.43,1423255,18.43
"12","040492","Tucson",599860,424994,174866,41.15,599860,41.15
"13","049013","Maricopa County",178479,210396,-31917,-15.17,178479,-15.17
"14","049019","Pima County",253887,204473,49414,24.17,253887,24.17
"15","049999","Arizona Nonentitlement",1472749,1414251,58498,4.14,1472749,4.14
"16","059999","Arkansas Nonentitlement",1762536,1967063,-204527,-10.4,1762536,-10.4
"17","060078","Anaheim",667062,350210,316852,90.47,667062,90.47
"18","060228","Bakersfield",237817,260531,-22714,-8.72,237817,-8.72
"19","060324","Berkeley",257312,203290,54022,26.57,257312,26.57
"20","060720","Chula Vista",313579,141899,171680,120.99,313579,120.99
"21","060804","Compton",298946,129900,169046,130.14,298946,130.14
"22","061152","El Monte",391046,150906,240140,159.13,391046,159.13
"23","061332","Fontana",128015,149544,-21529,-14.4,128015,-14.4
"24","061410","Fresno",808833,517584,291249,56.27,808833,56.27
"25","061440","Garden Grove",258226,159556,98670,61.84,258226,61.84
"26","061464","Glendale",299059,157089,141970,90.38,299059,90.38
"27","062088","Long Beach",1539664,492796,1046868,212.43,1539664,212.43
"28","062118","Los Angeles",11829721,4330357,7499364,173.18,11829721,173.18
"29","062292","Modesto",224006,151725,72281,47.64,224006,47.64
"30","062367","Moreno Valley",161236,155589,5647,3.63,161236,3.63
"31","062508","Oakland",992682,603407,389275,64.51,992682,64.51
"32","062556","Ontario",131424,140174,-8750,-6.24,131424,-6.24
"33","062622","Oxnard",366167,177570,188597,106.21,366167,106.21
"34","062724","Pasadena",364753,144224,220529,152.91,364753,152.91
"35","062850","Pomona",403072,172577,230495,133.56,403072,133.56
"36","063048","Riverside",262737,244966,17771,7.25,262737,7.25
"37","063144","Sacramento",490687,348183,142504,40.93,490687,40.93
"38","063162","Salinas",766100,159590,606510,380.04,766100,380.04
"39","063180","San Bernardino",286100,262136,23964,9.14,286100,9.14
"40","063210","San Diego",2207060,920222,1286838,139.84,2207060,139.84
"41","063228","San Francisco",3255882,1393730,1862152,133.61,3255882,133.61
"42","063258","San Jose",2224172,670964,1553208,231.49,2224172,231.49
"43","063342","Santa Ana",740776,461626,279150,60.47,740776,60.47
"44","063528","South Gate",311777,129670,182107,140.44,311777,140.44
"45","063624","Stockton",334613,266023,68590,25.78,334613,25.78
"46","069001","Alameda County",211582,128568,83014,64.57,211582,64.57
"47","069013","Contra Costa County",627385,236639,390746,165.12,627385,165.12
"48","069019","Fresno County",367246,264149,103097,39.03,367246,39.03
"49","069029","Kern County",356723,387436,-30713,-7.93,356723,-7.93
"50","069037","Los Angeles County",4058726,1766718,2292008,129.73,4058726,129.73
"51","069059","Orange County",360686,249367,111319,44.64,360686,44.64
"52","069065","Riverside County",558409,583301,-24892,-4.27,558409,-4.27
"53","069067","Sacramento County",499581,392047,107534,27.43,499581,27.43
"54","069071","San Bernardino County",495616,496343,-727,-0.15,495616,-0.15
"55","069073","San Diego County",594070,285432,308638,108.13,594070,108.13
"56","069077","San Joaquin County",218651,209552,9099,4.34,218651,4.34
"57","069079","San Luis Obispo County",893453,135496,757957,559.39,893453,559.39
"58","069081","San Mateo County",511029,198584,312445,157.34,511029,157.34
"59","069083","Santa Barbara County",506606,126795,379811,299.55,506606,299.55
"60","069097","Sonoma County",813978,135863,678115,499.12,813978,499.12
"61","069099","Stanislaus County",230760,171581,59179,34.49,230760,34.49
"62","069999","California Nonentitlement",17909697,10627068,7282629,68.53,17909697,68.53
"63","080072","Aurora",296647,220864,75783,34.31,296647,34.31
"64","080288","Colorado Springs",323688,203084,120604,59.39,323688,59.39
"65","080390","Denver",805656,582503,223153,38.31,805656,38.31
"66","089001","Adams County",270640,132561,138079,104.16,270640,104.16
"67","089999","Colorado Nonentitlement",1922310,1674830,247480,14.78,1922310,14.78
"68","090102","Bridgeport",187677,241205,-53528,-22.19,187677,-22.19
"69","090492","Hartford",238737,297962,-59225,-19.88,238737,-19.88
"70","090696","New Britain",93010,129876,-36866,-28.39,0,-100
"71","090726","New Haven",202849,284941,-82092,-28.81,202849,-28.81
"72","091194","Waterbury",115844,162197,-46353,-28.58,0,-100
"73","099999","Connecticut Nonentitlement",1169117,1856840,-687723,-37.04,1377971,-25.79
"74","100336","Wilmington",118714,177850,-59136,-33.25,0,-100
"75","109003","New Castle County",160517,179469,-18952,-10.56,160517,-10.56
"76","109999","Delaware Nonentitlement",105677,182080,-76403,-41.96,330069,81.28
"77","119999","District Of Columbia",1760426,1165369,595057,51.06,1760426,51.06
"78","121236","Hialeah",205615,171981,33634,19.56,205615,19.56
"79","121968","Miami",548497,399538,148959,37.28,548497,37.28
"80","122292","Orlando",284790,156866,127924,81.55,284790,81.55
"81","122724","St Petersburg",378008,131063,246945,188.42,378008,188.42
"82","123000","Tallahassee",199943,145911,54032,37.03,199943,37.03
"83","123012","Tampa",276855,226144,50711,22.42,276855,22.42
"84","129011","Broward County",276401,195794,80607,41.17,276401,41.17
"85","129021","Collier County",149285,163440,-14155,-8.66,149285,-8.66
"86","129031","Jacksonville-Duval Count",742636,461109,281527,61.05,742636,61.05
"87","129033","Escambia County",186678,136359,50319,36.9,186678,36.9
"88","129057","Hillsborough County",483879,450856,33023,7.32,483879,7.32
"89","129071","Lee County",195547,197693,-2146,-1.09,195547,-1.09
"90","129081","Manatee County",169300,134683,34617,25.7,169300,25.7
"91","129083","Marion County",131618,141453,-9835,-6.95,131618,-6.95
"92","129086","Miami-Dade County",865517,893756,-28239,-3.16,865517,-3.16
"93","129095","Orange County",677611,422525,255086,60.37,677611,60.37
"94","129099","Palm Beach County",559126,478676,80450,16.81,559126,16.81
"95","129101","Pasco County",1109476,202373,907103,448.23,1109476,448.23
"96","129103","Pinellas County",555908,204549,351359,171.77,555908,171.77
"97","129105","Polk County",177480,239759,-62279,-25.98,177480,-25.98
"98","129115","Sarasota County",150346,126151,24195,19.18,150346,19.18
"99","129117","Seminole County",230481,143092,87389,61.07,230481,61.07
"100","129127","Volusia County",342358,139480,202878,145.45,342358,145.45
"101","129999","Florida Nonentitlement",8709559,4605599,4103960,89.11,8709559,89.11
"102","130174","Atlanta",1521599,579189,942410,162.71,1521599,162.71
"103","130192","Augusta-Richmond County",170222,142880,27342,19.14,170222,19.14
"104","132916","Savannah",303972,174789,129183,73.91,303972,73.91
"105","139063","Clayton County",163257,164201,-944,-0.57,163257,-0.57
"106","139067","Cobb County",177781,249798,-72017,-28.83,177781,-28.83
"107","139089","De Kalb County",362038,382895,-20857,-5.45,362038,-5.45
"108","139121","Fulton County",129654,136276,-6622,-4.86,129654,-4.86
"109","139135","Gwinnett County",366626,397141,-30515,-7.68,366626,-7.68
"110","139999","Georgia Nonentitlement",3434734,3950646,-515912,-13.06,3434734,-13.06
"111","150144","Honolulu",1786359,635084,1151275,181.28,1786359,181.28
"112","159999","Hawaii Nonentitlement",645520,402239,243281,60.48,645520,60.48
"113","169999","Idaho Nonentitlement",716798,913026,-196228,-21.49,716798,-21.49
"114","171296","Chicago",2867979,5998236,-3130257,-52.19,2867979,-52.19
"115","172238","Evanston",48049,135550,-87501,-64.55,0,-100
"116","175526","Peoria",71985,130786,-58801,-44.96,0,-100
"117","176000","Rockford",155782,166875,-11093,-6.65,155782,-6.65
"118","179031","Cook County",463135,756420,-293285,-38.77,463135,-38.77
"119","179043","Du Page County",222506,255126,-32620,-12.79,222506,-12.79
"120","179097","Lake County",145780,197178,-51398,-26.07,145780,-26.07
"121","179197","Will County",60373,128312,-67939,-52.95,0,-100
"122","179999","Illinois Nonentitlement",2288678,4574559,-2285881,-49.97,2469085,-46.03
"123","180954","Evansville",90821,206617,-115796,-56.04,0,-100
"124","181014","Fort Wayne",96115,164045,-67930,-41.41,0,-100
"125","181104","Gary",106379,260886,-154507,-59.22,0,-100
"126","181272","Hammond",57220,162747,-105527,-64.84,0,-100
"127","181404","Indianapolis",573661,695544,-121883,-17.52,573661,-17.52
"128","182886","South Bend",77816,191693,-113877,-59.41,0,-100
"129","189999","Indiana Nonentitlement",1605269,3353815,-1748546,-52.14,2033619,-39.36
"130","191362","Des Moines",221912,285689,-63777,-22.32,221912,-22.32
"131","199999","Iowa Nonentitlement",1091221,2471652,-1380431,-55.85,1091221,-55.85
"132","201776","Kansas City",184433,172367,12066,7,184433,7
"133","203408","Topeka",127222,135465,-8243,-6.08,127222,-6.08
"134","203696","Wichita",200645,225915,-25270,-11.19,200645,-11.19
"135","209999","Kansas Nonentitlement",731208,1443471,-712263,-49.34,731208,-49.34
"136","211314","Lexington-Fayette",388730,171368,217362,126.84,388730,126.84
"137","211374","Louisville",479543,848884,-369341,-43.51,479543,-43.51
"138","219999","Kentucky Nonentitlement",1264391,2234783,-970392,-43.42,1264391,-43.42
