KEY,CNSRTKEY,NAME,STA,CDBG19,HOME19,ESG19,HOPWA19,HTF19
091230,,West Hartford,CT,975644,$0,0,$0,$0
091236,,West Haven,CT,735903,$0,0,$0,$0
099999,,Connecticut Nonentitlement,CT,13380326,"$9,039,736",2269089,"$263,259","$3,045,567"
100090,,Dover,DE,282307,$0,0,$0,$0
100336,,Wilmington,DE,2137652,"$510,394",185233,"$789,218",$0
109003,,New Castle County,DE,2278499,"$893,090",196701,$0,$0
109999,,Delaware Nonentitlement,DE,2380912,"$3,005,732",214062,"$300,043","$3,000,000"
119999,110006,District Of Columbia,DC,15189166,"$5,244,369",1291705,"$11,171,652","$3,000,000"
120234,,Boca Raton,FL,455301,$0,0,$0,$0
120264,,Boynton Beach,FL,529565,$0,0,$0,$0
120270,,Bradenton,FL,419456,$0,0,$0,$0
120402,,Cape Coral,FL,1009644,$0,0,"$607,551",$0
120492,,Clearwater,FL,764043,"$383,978",0,$0,$0
120516,,Cocoa,FL,177490,$0,0,$0,$0
120534,,Coconut Creek,FL,315003,$0,0,$0,$0
120588,,Coral Springs,FL,761605,$0,0,$0,$0
120684,,Davie,FL,651998,$0,0,$0,$0
120690,,Daytona Beach,FL,615306,"$351,763",0,$0,$0
120708,,Deerfield Beach,FL,659318,$0,0,$0,$0
120732,,Delray Beach,FL,518054,$0,0,$0,$0
120738,,Deltona,FL,583241,$0,0,"$553,042",$0
120954,,Ft Lauderdale,FL,1554051,"$630,675",0,"$7,177,985",$0
120966,,Ft Myers,FL,625804,$0,0,$0,$0
120996,,Fort Pierce,FL,559327,$0,0,$0,$0
121008,,Fort Walton Beach,FL,151789,$0,0,$0,$0
121038,,Gainesville,FL,1319592,"$530,141",0,$0,$0
121236,,Hialeah,FL,2737733,"$1,333,630",229907,$0,$0
121320,,Hollywood,FL,1235172,"$497,764",0,$0,$0
121344,,Homestead City,FL,807257,$0,0,$0,$0
121512,,Jupiter,FL,303397,$0,0,$0,$0
121572,,Kissimmee,FL,661559,$0,0,$0,$0
121662,,Lakeland,FL,935111,"$362,966",0,"$676,595",$0
121710,,Largo,FL,537167,$0,0,$0,$0
121728,,Lauderhill,FL,719672,$0,0,$0,$0
121874,,Marco Island,FL,82285,$0,0,$0,$0
121878,,Margate,FL,346880,$0,0,$0,$0
121926,,Melbourne,FL,543436,$0,0,$0,$0
121968,,Miami,FL,5389694,"$3,297,681",446241,"$11,628,915",$0
121974,,Miami Beach,FL,916981,"$587,853",0,$0,$0
121976,,Miami Gardens City,FL,1097670,$0,0,$0,$0
122022,,Miramar,FL,860071,$0,0,$0,$0
122142,,North Miami,FL,757246,"$269,234",0,$0,$0
122214,,Ocala,FL,447430,$0,0,$0,$0
122292,,Orlando,FL,2212331,"$1,192,278",180125,"$4,059,257",$0
122358,,Palm Bay,FL,805882,$0,0,"$443,527",$0
