Code,State,NAME,PPRN
010072,AL,Anniston,"$149,958"
010144,AL,Auburn,"$144,395"
010216,AL,Bessemer,"$148,732"
010228,AL,Birmingham,"$4,300,146"
010594,AL,Decatur,"$122,442"
010624,AL,Dothan,"$128,029"
010750,AL,Fairhope,"$19,797"
010810,AL,Florence,"$90,310"
010882,AL,Gadsden,"$273,425"
011218,AL,Huntsville,"$339,398"
011542,AL,Mobile,"$1,761,007"
011560,AL,Montgomery,"$1,254,999"
011740,AL,Opelika,"$65,121"
012268,AL,Tuscaloosa,"$217,086"
019001,AL,Autauga County,"$104,247"
019003,AL,Baldwin County,"$294,085"
019005,AL,Barbour County,"$76,557"
019007,AL,Bibb County,"$55,470"
019009,AL,Blount County,"$108,905"
019011,AL,Bullock County,"$33,473"
019013,AL,Butler County,"$68,062"
019015,AL,Calhoun County,"$185,345"
019017,AL,Chambers County,"$128,287"
019019,AL,Cherokee County,"$70,201"
019021,AL,Chilton County,"$107,551"
019023,AL,Choctaw County,"$31,279"
019025,AL,Clarke County,"$72,834"
019027,AL,Clay County,"$51,720"
019029,AL,Cleburne County,"$41,434"
019031,AL,Coffee County,"$93,778"
019033,AL,Colbert County,"$144,605"
019035,AL,Conecuh County,"$60,235"
019037,AL,Coosa County,"$30,219"
019039,AL,Covington County,"$116,301"
019041,AL,Crenshaw County,"$43,272"
019043,AL,Cullman County,"$182,442"
019045,AL,Dale County,"$95,545"
019047,AL,Dallas County,"$183,177"
019049,AL,DeKalb County,"$176,621"
019051,AL,Elmore County,"$123,790"
019053,AL,Escambia County,"$85,873"
019055,AL,Etowah County,"$134,743"
019057,AL,Fayette County,"$47,202"
019059,AL,Franklin County,"$96,234"
019061,AL,Geneva County,"$74,281"
019063,AL,Greene County,"$31,118"
019065,AL,Hale County,"$40,502"
019067,AL,Henry County,"$44,471"
019069,AL,Houston County,"$67,686"
019071,AL,Jackson County,"$104,660"
019073,AL,Jefferson County,"$1,647,016"
019075,AL,Lamar County,"$39,581"
019077,AL,Lauderdale County,"$94,933"
019079,AL,Lawrence County,"$68,265"
019081,AL,Lee County,"$121,431"
019083,AL,Limestone County,"$152,409"
019085,AL,Lowndes County,"$32,363"
019087,AL,Macon County,"$55,224"
019089,AL,Madison County,"$200,382"
019091,AL,Marengo County,"$59,726"
019093,AL,Marion County,"$76,400"
019095,AL,Marshall County,"$234,332"
019097,AL,Mobile County,"$1,155,203"
019099,AL,Monroe County,"$54,993"
019101,AL,Montgomery County,"$35,487"
019103,AL,Morgan County,"$103,732"
019105,AL,Perry County,"$43,614"
019107,AL,Pickens County,"$59,898"
019109,AL,Pike County,"$90,650"
019111,AL,Randolph County,"$75,219"
019113,AL,Russell County,"$141,934"
019115,AL,St. Clair County,"$157,083"
019117,AL,Shelby County,"$252,685"
019119,AL,Sumter County,"$41,771"
019121,AL,Talladega County,"$207,719"
019123,AL,Tallapoosa County,"$116,114"
019125,AL,Tuscaloosa County,"$183,071"
019127,AL,Walker County,"$155,715"
019129,AL,Washington County,"$38,837"
019131,AL,Wilcox County,"$35,014"
019133,AL,Winston County,"$58,288"
020078,AK,Anchorage,"$1,293,735"
029013,AK,Aleutians East Borough,"$4,884"
029016,AK,Aleutians West Census Area,"$7,781"
029050,AK,Bethel Census Area,"$52,527"
029060,AK,Bristol Bay Borough,"$3,468"
029068,AK,Denali Borough,"$3,056"
029070,AK,Dillingham Census Area,"$10,973"
029090,AK,Fairbanks North Star Borough,"$105,233"
029100,AK,Haines Borough,"$4,864"
029105,AK,Hoonah-Angoon Census Area,"$11,927"
029110,AK,Juneau City and Borough,"$84,880"
029122,AK,Kenai Peninsula Borough,"$64,176"
029130,AK,Ketchikan Gateway Borough,"$49,902"
029150,AK,Kodiak Island Borough,"$20,089"
029158,AK,Kusilvak Census Area,"$30,948"
029164,AK,Lake and Peninsula Borough,"$3,396"
029170,AK,Matanuska-Susitna Borough,"$118,436"
029180,AK,Nome Census Area,"$30,439"
