Geo Code,City,State,FY 2016 PPRN
131998,Marietta,GA,"$140,790"
132814,Rome,GA,"$108,012"
132832,Roswell,GA,"$110,798"
132890,Sandy Springs City,GA,"$154,189"
132916,Savannah,GA,"$1,526,982"
133000,Smyrna City,GA,"$80,351"
133354,Valdosta,GA,"$150,999"
133432,Warner Robins,GA,"$138,555"
139001,Appling County,GA,"$40,446"
139003,Atkinson County,GA,"$26,980"
139005,Bacon County,GA,"$26,973"
139007,Baker County,GA,"$15,027"
139009,Baldwin County,GA,"$101,657"
139011,Banks County,GA,"$42,823"
139013,Barrow County,GA,"$113,347"
139015,Bartow County,GA,"$187,461"
139017,Ben Hill County,GA,"$48,395"
139019,Berrien County,GA,"$54,244"
139023,Bleckley County,GA,"$28,561"
139025,Brantley County,GA,"$36,221"
139027,Brooks County,GA,"$50,301"
139029,Bryan County,GA,"$40,720"
139031,Bulloch County,GA,"$169,519"
139033,Burke County,GA,"$64,852"
139035,Butts County,GA,"$41,835"
139037,Calhoun County,GA,"$17,737"
139039,Camden County,GA,"$84,013"
139043,Candler County,GA,"$37,349"
139045,Carroll County,GA,"$205,106"
139047,Catoosa County,GA,"$93,864"
139049,Charlton County,GA,"$24,086"
139051,Chatham County,GA,"$165,811"
139053,Chattahoochee County,GA,"$24,150"
139055,Chattooga County,GA,"$72,812"
139057,Cherokee County,GA,"$264,342"
139061,Clay County,GA,"$15,662"
139063,Clayton County,GA,"$1,618,671"
139065,Clinch County,GA,"$12,541"
139067,Cobb County,GA,"$2,191,739"
139069,Coffee County,GA,"$97,500"
139071,Colquitt County,GA,"$120,996"
139073,Columbia County,GA,"$137,802"
139075,Cook County,GA,"$46,772"
139077,Coweta County,GA,"$194,377"
139079,Crawford County,GA,"$24,362"
139081,Crisp County,GA,"$71,476"
139083,Dade County,GA,"$31,853"
139085,Dawson County,GA,"$34,863"
139087,Decatur County,GA,"$86,942"
139089,De Kalb County,GA,"$3,439,009"
139091,Dodge County,GA,"$49,539"
139093,Dooly County,GA,"$43,547"
139095,Dougherty County,GA,"$26,368"
139097,Douglas County,GA,"$204,179"
139099,Early County,GA,"$29,929"
139101,Echols County,GA,"$13,170"
139103,Effingham County,GA,"$85,497"
139105,Elbert County,GA,"$49,655"
139107,Emanuel County,GA,"$68,704"
139109,Evans County,GA,"$29,216"
139111,Fannin County,GA,"$52,687"
139113,Fayette County,GA,"$110,117"
139115,Floyd County,GA,"$121,479"
139117,Forsyth County,GA,"$189,334"
139119,Franklin County,GA,"$48,423"
139121,Fulton County,GA,"$1,434,483"
139123,Gilmer County,GA,"$63,391"
139125,Glascock County,GA,"$10,779"
139127,Glynn County,GA,"$99,600"
139129,Gordon County,GA,"$109,646"
139131,Grady County,GA,"$64,685"
139133,Greene County,GA,"$43,014"
139135,Gwinnett County,GA,"$3,805,619"
139137,Habersham County,GA,"$83,384"
139139,Hall County,GA,"$283,605"
139141,Hancock County,GA,"$42,709"
139143,Haralson County,GA,"$71,665"
139145,Harris County,GA,"$51,893"
139147,Hart County,GA,"$62,147"
139149,Heard County,GA,"$32,076"
139151,Henry County,GA,"$264,576"
139153,Houston County,GA,"$101,530"
139155,Irwin County,GA,"$23,470"
139157,Jackson County,GA,"$101,661"
139159,Jasper County,GA,"$32,895"
139161,Jeff Davis County,GA,"$37,132"
139163,Jefferson County,GA,"$53,685"
139165,Jenkins County,GA,"$34,844"
139167,Johnson County,GA,"$30,042"
139169,Jones County,GA,"$43,161"
139171,Lamar County,GA,"$72,220"
139173,Lanier County,GA,"$28,910"
139175,Laurens County,GA,"$102,266"
139177,Lee County,GA,"$34,333"
139179,Liberty County,GA,"$56,636"
139181,Lincoln County,GA,"$20,156"
139183,Long County,GA,"$29,159"
139185,Lowndes County,GA,"$86,341"
139187,Lumpkin County,GA,"$51,668"
139189,Mcduffie County,GA,"$47,889"
139191,Mcintosh County,GA,"$26,276"
139193,Macon County,GA,"$38,792"
139195,Madison County,GA,"$70,337"
139197,Marion County,GA,"$24,037"
139199,Meriwether County,GA,"$75,854"
139201,Miller County,GA,"$14,181"
139205,Mitchell County,GA,"$62,396"
139207,Monroe County,GA,"$51,825"
139209,Montgomery County,GA,"$24,627"
139211,Morgan County,GA,"$40,030"
139213,Murray County,GA,"$116,051"
139217,Newton County,GA,"$160,228"
139219,Oconee County,GA,"$40,402"
139221,Oglethorpe County,GA,"$34,444"
139223,Paulding County,GA,"$179,844"
139225,Peach County,GA,"$59,957"
139227,Pickens County,GA,"$42,192"
139229,Pierce County,GA,"$44,166"
139231,Pike County,GA,"$39,729"
139233,Polk County,GA,"$130,748"
139235,Pulaski County,GA,"$22,644"
139237,Putnam County,GA,"$43,216"
139239,Quitman County,GA,"$6,349"
139241,Rabun County,GA,"$38,891"
139243,Randolph County,GA,"$32,998"
139247,Rockdale County,GA,"$140,226"
139249,Schley County,GA,"$11,620"
139251,Screven County,GA,"$40,666"
139253,Seminole County,GA,"$19,998"
139255,Spalding County,GA,"$144,814"
139257,Stephens County,GA,"$53,288"
139259,Stewart County,GA,"$22,411"
139261,Sumter County,GA,"$98,956"
139263,Talbot County,GA,"$26,784"
139265,Taliaferro County,GA,"$13,177"
139267,Tattnall County,GA,"$53,679"
139269,Taylor County,GA,"$26,457"
139271,Telfair County,GA,"$57,721"
139273,Terrell County,GA,"$33,819"
139275,Thomas County,GA,"$152,531"
139277,Tift County,GA,"$81,401"
139279,Toombs County,GA,"$63,278"
139281,Towns County,GA,"$15,992"
139283,Treutlen County,GA,"$16,759"
139285,Troup County,GA,"$169,435"
139287,Turner County,GA,"$27,231"
139289,Twiggs County,GA,"$23,448"
139291,Union County,GA,"$37,797"
139293,Upson County,GA,"$132,009"
139295,Walker County,GA,"$158,693"
139297,Walton County,GA,"$137,303"
139299,Ware County,GA,"$122,618"
139301,Warren County,GA,"$31,931"
139303,Washington County,GA,"$65,632"
139305,Wayne County,GA,"$60,439"
139307,Webster County,GA,"$10,838"
139309,Wheeler County,GA,"$21,052"
139311,White County,GA,"$49,310"
139313,Whitfield County,GA,"$147,253"
139315,Wilcox County,GA,"$27,198"
139317,Wilkes County,GA,"$52,064"
139319,Wilkinson County,GA,"$22,963"
139321,Worth County,GA,"$53,201"
150144,Honolulu,HI,"$5,281,046"
159001,Hawaii County,HI,"$684,256"
159007,Kauai County,HI,"$180,523"
159009,Maui County,HI,"$437,861"
160102,Boise,ID,"$341,581"
160198,Coeur D'Alene,ID,"$77,671"
160510,Idaho Falls,ID,"$91,515"
160618,Lewiston,ID,"$52,301"
160684,Meridian,ID,"$88,037"
160762,Nampa,ID,"$191,996"
160906,Pocatello,ID,"$96,938"
169001,Ada County,ID,"$154,831"
169003,Adams County,ID,"$9,716"
169005,Bannock County,ID,"$40,503"
169007,Bear Lake County,ID,"$26,410"
169009,Benewah County,ID,"$21,370"
169011,Bingham County,ID,"$92,029"
169013,Blaine County,ID,"$33,995"
169015,Boise County,ID,"$12,800"
169017,Bonner County,ID,"$82,168"
169019,Bonneville County,ID,"$56,768"
169021,Boundary County,ID,"$20,983"
169023,Butte County,ID,"$7,355"
169025,Camas County,ID,"$4,832"
169027,Canyon County,ID,"$227,450"
169029,Caribou County,ID,"$17,117"
169031,Cassia County,ID,"$58,867"
169033,Clark County,ID,"$4,255"
169035,Clearwater County,ID,"$18,444"
169037,Custer County,ID,"$14,199"
169039,Elmore County,ID,"$48,644"
169041,Franklin County,ID,"$35,849"
169043,Fremont County,ID,"$30,627"
169045,Gem County,ID,"$36,394"
169047,Gooding County,ID,"$36,881"
169049,Idaho County,ID,"$42,595"
169051,Jefferson County,ID,"$40,942"
169053,Jerome County,ID,"$54,483"
169055,Kootenai County,ID,"$143,831"
169057,Latah County,ID,"$100,154"
169059,Lemhi County,ID,"$23,885"
169061,Lewis County,ID,"$14,074"
169063,Lincoln County,ID,"$11,103"
169065,Madison County,ID,"$127,600"
169067,Minidoka County,ID,"$39,584"
169069,Nez Perce County,ID,"$13,457"
169071,Oneida County,ID,"$17,151"
169073,Owyhee County,ID,"$32,096"
169075,Payette County,ID,"$46,170"
169077,Power County,ID,"$16,456"
169079,Shoshone County,ID,"$56,753"
169081,Teton County,ID,"$14,049"
169083,Twin Falls County,ID,"$151,229"
169085,Valley County,ID,"$19,938"
169087,Washington County,ID,"$29,213"
170126,Alton City,IL,"$216,909"
170222,Arlington Heights,IL,"$64,136"
170342,Aurora,IL,"$390,166"
170522,Belleville,IL,"$158,704"
170606,Berwyn,IL,"$321,697"
170660,Bloomington,IL,"$146,641"
170690,Bolingbrook,IL,"$95,847"
171218,Champaign,IL,"$172,073"
171296,Chicago,IL,"$52,532,834"
171302,Chicago Heights,IL,"$146,739"
171332,Cicero,IL,"$1,117,129"
171692,Danville,IL,"$237,180"
171716,Decatur,IL,"$331,265"
171746,Dekalb,IL,"$105,473"
171776,Des Plaines,IL,"$73,794"
171878,Downers Grove,IL,"$42,969"
172022,East St Louis,IL,"$1,061,403"
172094,Elgin,IL,"$213,205"
172238,Evanston,IL,"$1,163,142"
172814,Granite City,IL,"$173,206"
173228,Hoffman Estates,IL,"$65,754"
173480,Joliet,IL,"$237,464"
173540,Kankakee,IL,"$122,927"
174596,Moline,IL,"$186,121"
174734,Mount Prospect,IL,"$68,562"
174806,Naperville,IL,"$118,199"
175010,Normal,IL,"$106,789"
175052,North Chicago,IL,"$60,333"
175148,Oak Lawn,IL,"$73,410"
175154,Oak Park,IL,"$1,091,111"
175364,Palatine Village,IL,"$99,089"
175520,Pekin,IL,"$96,227"
175526,Peoria,IL,"$1,127,182"
175808,Rantoul,IL,"$78,801"
176000,Rockford,IL,"$1,492,593"
176006,Rock Island,IL,"$248,920"
176300,Schaumburg Village,IL,"$80,045"
176498,Skokie,IL,"$129,644"
176648,Springfield,IL,"$267,562"
177122,Urbana,IL,"$100,211"
177404,Waukegan,IL,"$214,506"
177548,Wheaton City,IL,"$52,674"
179001,Adams County,IL,"$155,892"
179003,Alexander County,IL,"$35,950"
179005,Bond County,IL,"$38,698"
179007,Boone County,IL,"$125,847"
179009,Brown County,IL,"$15,612"
179011,Bureau County,IL,"$105,187"
179013,Calhoun County,IL,"$13,636"
179015,Carroll County,IL,"$49,725"
179017,Cass County,IL,"$39,408"
179019,Champaign County,IL,"$127,623"
179021,Christian County,IL,"$98,669"
179023,Clark County,IL,"$37,657"
179025,Clay County,IL,"$31,377"
179027,Clinton County,IL,"$67,293"
179029,Coles County,IL,"$149,755"
179031,Cook County,IL,"$6,554,528"
179033,Crawford County,IL,"$48,212"
179035,Cumberland County,IL,"$28,505"
179037,Dekalb County,IL,"$135,275"
179039,De Witt County,IL,"$42,740"
179041,Douglas County,IL,"$51,689"
179043,Du Page County,IL,"$2,324,615"
179045,Edgar County,IL,"$57,215"
179047,Edwards County,IL,"$15,370"
179049,Effingham County,IL,"$65,938"
179051,Fayette County,IL,"$57,837"
179053,Ford County,IL,"$39,314"
179055,Franklin County,IL,"$107,987"
179057,Fulton County,IL,"$104,071"
179059,Gallatin County,IL,"$17,171"
179061,Greene County,IL,"$42,169"
179063,Grundy County,IL,"$110,933"
179065,Hamilton County,IL,"$19,742"
179067,Hancock County,IL,"$61,316"
179069,Hardin County,IL,"$13,804"
179071,Henderson County,IL,"$19,879"
179073,Henry County,IL,"$122,875"
179075,Iroquois County,IL,"$79,748"
179077,Jackson County,IL,"$238,896"
179079,Jasper County,IL,"$18,687"
179081,Jefferson County,IL,"$96,904"
179083,Jersey County,IL,"$35,636"
179085,Jo Daviess County,IL,"$68,229"
179087,Johnson County,IL,"$21,610"
179089,Kane County,IL,"$302,137"
179091,Kankakee County,IL,"$159,939"
179093,Kendall County,IL,"$124,069"
179095,Knox County,IL,"$152,598"
179097,Lake County,IL,"$1,748,752"
179099,Lasalle County,IL,"$284,217"
179101,Lawrence County,IL,"$37,800"
179103,Lee County,IL,"$90,719"
179105,Livingston County,IL,"$91,690"
179107,Logan County,IL,"$70,780"
179109,Mcdonough County,IL,"$91,101"
179111,Mchenry County,IL,"$356,682"
179113,Mclean County,IL,"$77,881"
179115,Macon County,IL,"$49,219"
179117,Macoupin County,IL,"$116,531"
179119,Madison County,IL,"$894,409"
179121,Marion County,IL,"$102,103"
179123,Marshall County,IL,"$33,194"
179125,Mason County,IL,"$41,588"
179127,Massac County,IL,"$41,230"
179129,Menard County,IL,"$27,298"
179131,Mercer County,IL,"$47,524"
179133,Monroe County,IL,"$54,279"
179135,Montgomery County,IL,"$71,487"
179137,Morgan County,IL,"$86,545"
179139,Moultrie County,IL,"$32,331"
179141,Ogle County,IL,"$113,878"
179143,Peoria County,IL,"$125,450"
179145,Perry County,IL,"$64,351"
179147,Piatt County,IL,"$37,282"
179149,Pike County,IL,"$47,710"
179151,Pope County,IL,"$11,592"
179153,Pulaski County,IL,"$23,057"
179155,Putnam County,IL,"$19,733"
179157,Randolph County,IL,"$66,045"
179159,Richland County,IL,"$38,648"
179161,Rock Island County,IL,"$145,988"
179163,St Clair County,IL,"$844,541"
179165,Saline County,IL,"$71,324"
179167,Sangamon County,IL,"$152,268"
179169,Schuyler County,IL,"$25,974"
179171,Scott County,IL,"$15,041"
179173,Shelby County,IL,"$51,830"
179175,Stark County,IL,"$19,705"
179177,Stephenson County,IL,"$139,128"
179179,Tazewell County,IL,"$174,924"
179181,Union County,IL,"$49,776"
179183,Vermilion County,IL,"$116,031"
179185,Wabash County,IL,"$27,754"
179187,Warren County,IL,"$55,988"
179189,Washington County,IL,"$32,576"
179191,Wayne County,IL,"$43,018"
179193,White County,IL,"$35,405"
179195,Whiteside County,IL,"$136,567"
179197,Will County,IL,"$1,112,766"
179199,Williamson County,IL,"$164,018"
179201,Winnebago County,IL,"$218,972"
179203,Woodford County,IL,"$65,257"
180084,Anderson,IN,"$224,962"
180246,Bloomington,IN,"$212,815"
180450,Carmel,IN,"$58,780"
180624,Columbus,IN,"$66,002"
180846,East Chicago,IN,"$319,004"
180912,Elkhart,IN,"$191,389"
180954,Evansville,IN,"$1,773,644"
181014,Fort Wayne,IN,"$1,398,100"
181104,Gary,IN,"$2,226,601"
181158,Goshen,IN,"$73,060"
181272,Hammond,IN,"$1,424,371"
181404,Indianapolis,IN,"$5,952,457"
181536,Kokomo,IN,"$200,018"
181566,Lafayette,IN,"$160,592"
181602,La Porte,IN,"$108,372"
181884,Michigan City,IN,"$160,903"
181950,Mishawaka,IN,"$126,098"
182100,Muncie,IN,"$297,517"
182130,New Albany,IN,"$163,813"
182886,South Bend,IN,"$1,699,025"
183042,Terre Haute,IN,"$1,072,527"
183282,West Lafayette,IN,"$82,118"
189001,Adams County,IN,"$93,114"
189003,Allen County,IN,"$148,266"
189005,Bartholomew County,IN,"$70,543"
189007,Benton County,IN,"$26,879"
189009,Blackford County,IN,"$34,176"
189011,Boone County,IN,"$82,990"
189013,Brown County,IN,"$31,361"
189015,Carroll County,IN,"$49,539"
189017,Cass County,IN,"$118,912"
189019,Clark County,IN,"$214,110"
189021,Clay County,IN,"$66,427"
189023,Clinton County,IN,"$94,152"
189025,Crawford County,IN,"$25,317"
189027,Daviess County,IN,"$71,125"
189029,Dearborn County,IN,"$74,964"
189031,Decatur County,IN,"$63,609"
189033,Dekalb County,IN,"$100,006"
189035,Delaware County,IN,"$71,134"
189037,Dubois County,IN,"$64,455"
189039,Elkhart County,IN,"$202,373"
189041,Fayette County,IN,"$73,325"
189043,Floyd County,IN,"$37,217"
189045,Fountain County,IN,"$45,836"
189047,Franklin County,IN,"$51,162"
189049,Fulton County,IN,"$52,766"
189051,Gibson County,IN,"$71,646"
189053,Grant County,IN,"$172,894"
189055,Greene County,IN,"$75,605"
189057,Hamilton County,IN,"$169,418"
189059,Hancock County,IN,"$89,859"
189061,Harrison County,IN,"$64,335"
189063,Hendricks County,IN,"$145,025"
189065,Henry County,IN,"$130,467"
189067,Howard County,IN,"$46,072"
189069,Huntington County,IN,"$97,389"
189071,Jackson County,IN,"$85,240"
189073,Jasper County,IN,"$50,468"
189075,Jay County,IN,"$64,509"
189077,Jefferson County,IN,"$64,993"
189079,Jennings County,IN,"$62,537"
189081,Johnson County,IN,"$221,102"
189083,Knox County,IN,"$104,964"
189085,Kosciusko County,IN,"$154,060"
189087,Lagrange County,IN,"$111,525"
189089,Lake County,IN,"$359,488"
189091,Laporte County,IN,"$87,494"
189093,Lawrence County,IN,"$106,624"
189095,Madison County,IN,"$135,843"
189097,Marion County,IN,"$163,306"
189099,Marshall County,IN,"$105,241"
189101,Martin County,IN,"$18,908"
189103,Miami County,IN,"$105,367"
189105,Monroe County,IN,"$91,374"
189107,Montgomery County,IN,"$102,972"
189109,Morgan County,IN,"$115,743"
189111,Newton County,IN,"$30,149"
189113,Noble County,IN,"$113,211"
189115,Ohio County,IN,"$12,781"
189117,Orange County,IN,"$50,169"
189119,Owen County,IN,"$50,301"
189121,Parke County,IN,"$41,892"
189123,Perry County,IN,"$34,784"
189125,Pike County,IN,"$27,630"
189127,Porter County,IN,"$272,633"
189129,Posey County,IN,"$47,405"
189131,Pulaski County,IN,"$35,413"
189133,Putnam County,IN,"$60,933"
189135,Randolph County,IN,"$81,130"
189137,Ripley County,IN,"$55,686"
189139,Rush County,IN,"$52,463"
189141,St. Joseph County,IN,"$139,014"
189143,Scott County,IN,"$60,513"
189145,Shelby County,IN,"$97,916"
189147,Spencer County,IN,"$46,901"
189149,Starke County,IN,"$56,009"
189151,Steuben County,IN,"$73,384"
189153,Sullivan County,IN,"$53,536"
189155,Switzerland County,IN,"$31,095"
189157,Tippecanoe County,IN,"$160,190"
189159,Tipton County,IN,"$41,863"
189161,Union County,IN,"$18,444"
189163,Vanderburgh County,IN,"$78,755"
189165,Vermillion County,IN,"$49,951"
189167,Vigo County,IN,"$83,342"
189169,Wabash County,IN,"$91,605"
189171,Warren County,IN,"$18,996"
189173,Warrick County,IN,"$95,521"
189175,Washington County,IN,"$62,353"
189177,Wayne County,IN,"$196,478"
189179,Wells County,IN,"$63,239"
189181,White County,IN,"$51,384"
189183,Whitley County,IN,"$64,887"
190138,Ames,IA,"$129,241"
190798,Cedar Falls,IA,"$63,804"
190804,Cedar Rapids,IA,"$273,602"
191134,Council Bluffs,IA,"$227,916"
191254,Davenport,IA,"$837,586"
191362,Des Moines,IA,"$2,489,414"
191464,Dubuque,IA,"$254,591"
192466,Iowa City,IA,"$152,396"
194812,Sioux City,IA,"$1,088,735"
195394,Waterloo,IA,"$301,195"
195508,West Des Moines,IA,"$61,998"
199001,Adair County,IA,"$21,938"
199003,Adams County,IA,"$13,862"
199005,Allamakee County,IA,"$43,368"
199007,Appanoose County,IA,"$42,970"
199009,Audubon County,IA,"$18,373"
199011,Benton County,IA,"$63,803"
199013,Black Hawk County,IA,"$44,923"
199015,Boone County,IA,"$77,752"
199017,Bremer County,IA,"$54,937"
199019,Buchanan County,IA,"$62,584"
199021,Buena Vista County,IA,"$76,993"
199023,Butler County,IA,"$45,217"
199025,Calhoun County,IA,"$32,664"
199027,Carroll County,IA,"$51,353"
199029,Cass County,IA,"$44,972"
199031,Cedar County,IA,"$47,893"
199033,Cerro Gordo County,IA,"$132,465"
199035,Cherokee County,IA,"$32,925"
199037,Chickasaw County,IA,"$36,473"
199039,Clarke County,IA,"$24,751"
199041,Clay County,IA,"$41,030"
199043,Clayton County,IA,"$62,434"
199045,Clinton County,IA,"$144,501"
199047,Crawford County,IA,"$68,113"
199049,Dallas County,IA,"$105,931"
199051,Davis County,IA,"$43,286"
199053,Decatur County,IA,"$31,017"
199055,Delaware County,IA,"$44,117"
199057,Des Moines County,IA,"$128,083"
199059,Dickinson County,IA,"$41,807"
199061,Dubuque County,IA,"$58,175"
199063,Emmet County,IA,"$28,801"
199065,Fayette County,IA,"$71,546"
199067,Floyd County,IA,"$48,541"
199069,Franklin County,IA,"$34,670"
199071,Fremont County,IA,"$20,490"
199073,Greene County,IA,"$29,248"
199075,Grundy County,IA,"$31,685"
199077,Guthrie County,IA,"$32,345"
199079,Hamilton County,IA,"$47,698"
199081,Hancock County,IA,"$29,722"
199083,Hardin County,IA,"$51,559"
199085,Harrison County,IA,"$45,256"
199087,Henry County,IA,"$66,417"
199089,Howard County,IA,"$30,619"
199091,Humboldt County,IA,"$30,132"
199093,Ida County,IA,"$24,760"
199095,Iowa County,IA,"$45,265"
199097,Jackson County,IA,"$58,685"
199099,Jasper County,IA,"$99,127"
199101,Jefferson County,IA,"$50,589"
199103,Johnson County,IA,"$151,858"
199105,Jones County,IA,"$50,665"
199107,Keokuk County,IA,"$37,131"
199109,Kossuth County,IA,"$42,771"
199111,Lee County,IA,"$113,441"
199113,Linn County,IA,"$158,160"
199115,Louisa County,IA,"$52,532"
199117,Lucas County,IA,"$38,148"
199119,Lyon County,IA,"$28,975"
199121,Madison County,IA,"$39,646"
199123,Mahaska County,IA,"$67,528"
199125,Marion County,IA,"$80,573"
199127,Marshall County,IA,"$144,823"
199129,Mills County,IA,"$32,369"
199131,Mitchell County,IA,"$30,395"
199133,Monona County,IA,"$32,516"
199135,Monroe County,IA,"$24,224"
199137,Montgomery County,IA,"$42,190"
199139,Muscatine County,IA,"$149,948"
199141,O'Brien County,IA,"$40,097"
199143,Osceola County,IA,"$18,435"
199145,Page County,IA,"$49,113"
199147,Palo Alto County,IA,"$27,781"
199149,Plymouth County,IA,"$50,726"
199151,Pocahontas County,IA,"$25,235"
199153,Polk County,IA,"$342,969"
199155,Pottawattamie County,IA,"$66,311"
199157,Poweshiek County,IA,"$47,993"
199159,Ringgold County,IA,"$17,895"
199161,Sac County,IA,"$33,398"
199163,Scott County,IA,"$110,966"
199165,Shelby County,IA,"$37,284"
199167,Sioux County,IA,"$82,441"
199169,Story County,IA,"$63,005"
199171,Tama County,IA,"$54,525"
199173,Taylor County,IA,"$23,843"
199175,Union County,IA,"$43,659"
199177,Van Buren County,IA,"$33,707"
199179,Wapello County,IA,"$131,169"
199181,Warren County,IA,"$86,086"
199183,Washington County,IA,"$65,288"
199185,Wayne County,IA,"$22,089"
199187,Webster County,IA,"$110,631"
199189,Winnebago County,IA,"$27,701"
199191,Winneshiek County,IA,"$55,248"
199193,Woodbury County,IA,"$41,327"
199195,Worth County,IA,"$25,739"
199197,Wright County,IA,"$40,333"
201776,Kansas City,KS,"$1,467,613"
201902,Lawrence,KS,"$181,491"
201908,Leavenworth,KS,"$83,433"
202190,Manhattan City,KS,"$168,800"
202688,Overland Park,KS,"$171,204"
203216,Shawnee,KS,"$64,140"
203408,Topeka,KS,"$1,204,304"
203696,Wichita,KS,"$1,908,341"
209001,Allen County,KS,"$38,650"
209003,Anderson County,KS,"$23,229"
209005,Atchison County,KS,"$45,343"
209007,Barber County,KS,"$13,151"
209009,Barton County,KS,"$64,683"
209011,Bourbon County,KS,"$47,386"
209013,Brown County,KS,"$34,799"
209015,Butler County,KS,"$102,917"
209017,Chase County,KS,"$9,832"
209019,Chautauqua County,KS,"$13,482"
209021,Cherokee County,KS,"$58,227"
209023,Cheyenne County,KS,"$8,066"
209025,Clark County,KS,"$7,106"
209027,Clay County,KS,"$23,508"
209029,Cloud County,KS,"$31,321"
209031,Coffey County,KS,"$20,409"
209033,Comanche County,KS,"$6,146"
209035,Cowley County,KS,"$102,615"
209037,Crawford County,KS,"$112,470"
209039,Decatur County,KS,"$10,453"
209041,Dickinson County,KS,"$53,165"
209043,Doniphan County,KS,"$21,134"
209045,Douglas County,KS,"$37,520"
209047,Edwards County,KS,"$10,884"
209049,Elk County,KS,"$12,078"
209051,Ellis County,KS,"$59,812"
209053,Ellsworth County,KS,"$17,663"
209055,Finney County,KS,"$129,954"
209057,Ford County,KS,"$120,078"
209059,Franklin County,KS,"$58,830"
209061,Geary County,KS,"$84,305"
209063,Gove County,KS,"$7,345"
209065,Graham County,KS,"$7,543"
209067,Grant County,KS,"$23,217"
209069,Gray County,KS,"$13,240"
209071,Greeley County,KS,"$2,340"
209073,Greenwood County,KS,"$24,672"
209075,Hamilton County,KS,"$5,434"
209077,Harper County,KS,"$21,085"
209079,Harvey County,KS,"$77,270"
209081,Haskell County,KS,"$8,202"
209083,Hodgeman County,KS,"$4,393"
209085,Jackson County,KS,"$27,599"
209087,Jefferson County,KS,"$34,229"
209089,Jewell County,KS,"$13,288"
209091,Johnson County,KS,"$343,785"
209093,Kearny County,KS,"$8,059"
209095,Kingman County,KS,"$23,523"
209097,Kiowa County,KS,"$6,430"
209099,Labette County,KS,"$60,128"
209101,Lane County,KS,"$4,524"
209103,Leavenworth County,KS,"$63,139"
209105,Lincoln County,KS,"$12,732"
209107,Linn County,KS,"$22,726"
209109,Logan County,KS,"$6,556"
209111,Lyon County,KS,"$106,340"
209113,Mcpherson County,KS,"$58,905"
209115,Marion County,KS,"$34,458"
209117,Marshall County,KS,"$33,700"
209119,Meade County,KS,"$9,224"
209121,Miami County,KS,"$57,928"
209123,Mitchell County,KS,"$18,011"
209125,Montgomery County,KS,"$104,666"
209127,Morris County,KS,"$17,317"
209129,Morton County,KS,"$6,855"
209131,Nemaha County,KS,"$26,871"
209133,Neosho County,KS,"$48,367"
209135,Ness County,KS,"$8,671"
209137,Norton County,KS,"$15,026"
209139,Osage County,KS,"$35,511"
209141,Osborne County,KS,"$14,929"
209143,Ottawa County,KS,"$18,124"
209145,Pawnee County,KS,"$16,698"
209147,Phillips County,KS,"$16,632"
209149,Pottawatomie County,KS,"$39,461"
209151,Pratt County,KS,"$26,023"
209153,Rawlins County,KS,"$9,140"
209155,Reno County,KS,"$147,478"
209157,Republic County,KS,"$20,290"
209159,Rice County,KS,"$29,478"
209161,Riley County,KS,"$46,554"
209163,Rooks County,KS,"$15,653"
209165,Rush County,KS,"$11,571"
209167,Russell County,KS,"$21,168"
209169,Saline County,KS,"$142,947"
209171,Scott County,KS,"$9,866"
209173,Sedgwick County,KS,"$189,688"
209175,Seward County,KS,"$82,378"
209177,Shawnee County,KS,"$64,787"
209179,Sheridan County,KS,"$6,906"
209181,Sherman County,KS,"$14,212"
209183,Smith County,KS,"$14,879"
209185,Stafford County,KS,"$16,351"
209187,Stanton County,KS,"$4,477"
209189,Stevens County,KS,"$12,974"
209191,Sumner County,KS,"$64,296"
209193,Thomas County,KS,"$13,907"
209195,Trego County,KS,"$6,585"
209197,Wabaunsee County,KS,"$16,940"
209199,Wallace County,KS,"$3,661"
209201,Washington County,KS,"$19,163"
209203,Wichita County,KS,"$6,718"
209205,Wilson County,KS,"$29,331"
209207,Woodson County,KS,"$12,668"
209209,Wyandotte County,KS,"$22,457"
210048,Ashland,KY,"$139,131"
210210,Bowling Green,KY,"$139,360"
210534,Covington,KY,"$1,009,905"
210696,Elizabethtown,KY,"$48,400"
211032,Henderson,KY,"$56,356"
211086,Hopkinsville,KY,"$71,368"
211314,Lexington-Fayette,KY,"$1,484,369"
211374,Louisville-Cdbg,KY,"$7,468,452"
211680,Owensboro,KY,"$108,884"
219001,Adair County,KY,"$33,915"
219003,Allen County,KY,"$39,803"
219005,Anderson County,KY,"$32,853"
219007,Ballard County,KY,"$13,673"
219009,Barren County,KY,"$80,939"
219011,Bath County,KY,"$31,678"
219013,Bell County,KY,"$75,409"
219015,Boone County,KY,"$175,640"
219017,Bourbon County,KY,"$61,325"
219019,Boyd County,KY,"$41,875"
219021,Boyle County,KY,"$55,499"
219023,Bracken County,KY,"$28,714"
219025,Breathitt County,KY,"$36,818"
219027,Breckinridge County,KY,"$49,663"
219029,Bullitt County,KY,"$101,631"
219031,Butler County,KY,"$25,052"
219033,Caldwell County,KY,"$41,408"
219035,Calloway County,KY,"$57,843"
219037,Campbell County,KY,"$310,642"
219039,Carlisle County,KY,"$9,910"
219041,Carroll County,KY,"$33,804"
219043,Carter County,KY,"$50,232"
219045,Casey County,KY,"$40,986"
219047,Christian County,KY,"$76,183"
219049,Clark County,KY,"$64,479"
