Geo Code,City,State,FY 2016 PPRN
049015,Mohave County,AZ,"$316,909"
049017,Navajo County,AZ,"$269,112"
049019,Pima County,AZ,"$1,879,041"
049021,Pinal County,AZ,"$437,382"
049023,Santa Cruz County,AZ,"$138,433"
049025,Yavapai County,AZ,"$284,888"
049027,Yuma County,AZ,"$226,890"
050228,Bentonville,AR,"$42,754"
050600,Conway,AR,"$109,028"
050894,Fayetteville,AR,"$153,236"
050930,Fort Smith,AR,"$213,395"
051302,Hot Springs,AR,"$92,612"
051374,Jacksonville,AR,"$53,020"
051410,Jonesboro,AR,"$153,312"
051560,Little Rock,AR,"$975,801"
051938,North Little Rock,AR,"$144,932"
052130,Pine Bluff,AR,"$144,492"
052304,Rogers,AR,"$108,889"
052466,Springdale,AR,"$220,692"
052556,Texarkana,AR,"$61,514"
052754,West Memphis,AR,"$79,790"
059001,Arkansas County,AR,"$47,860"
059003,Ashley County,AR,"$37,998"
059005,Baxter County,AR,"$72,920"
059007,Benton County,AR,"$194,100"
059009,Boone County,AR,"$85,994"
059011,Bradley County,AR,"$34,034"
059013,Calhoun County,AR,"$13,083"
059015,Carroll County,AR,"$94,501"
059017,Chicot County,AR,"$36,604"
059019,Clark County,AR,"$59,460"
059021,Clay County,AR,"$41,657"
059023,Cleburne County,AR,"$48,560"
059025,Cleveland County,AR,"$16,636"
059027,Columbia County,AR,"$63,037"
059029,Conway County,AR,"$49,769"
059031,Craighead County,AR,"$46,113"
059033,Crawford County,AR,"$134,910"
059035,Crittenden County,AR,"$52,595"
059037,Cross County,AR,"$43,074"
059039,Dallas County,AR,"$21,357"
059041,Desha County,AR,"$41,618"
059043,Drew County,AR,"$43,074"
059045,Faulkner County,AR,"$74,592"
059047,Franklin County,AR,"$49,959"
059049,Fulton County,AR,"$33,701"
059051,Garland County,AR,"$120,117"
059053,Grant County,AR,"$21,573"
059055,Greene County,AR,"$75,604"
059057,Hempstead County,AR,"$66,712"
059059,Hot Spring County,AR,"$58,021"
059061,Howard County,AR,"$33,081"
059063,Independence County,AR,"$84,058"
059065,Izard County,AR,"$32,788"
059067,Jackson County,AR,"$41,850"
059069,Jefferson County,AR,"$38,112"
059071,Johnson County,AR,"$59,982"
059073,Lafayette County,AR,"$26,402"
059075,Lawrence County,AR,"$45,999"
059077,Lee County,AR,"$27,986"
059079,Lincoln County,AR,"$33,796"
059081,Little River County,AR,"$20,439"
059083,Logan County,AR,"$63,231"
059085,Lonoke County,AR,"$114,823"
059087,Madison County,AR,"$42,176"
059089,Marion County,AR,"$34,631"
059091,Miller County,AR,"$23,811"
059093,Mississippi County,AR,"$107,402"
059095,Monroe County,AR,"$23,455"
059097,Montgomery County,AR,"$26,482"
059099,Nevada County,AR,"$22,864"
059101,Newton County,AR,"$25,193"
059103,Ouachita County,AR,"$61,496"
059105,Perry County,AR,"$21,128"
059107,Phillips County,AR,"$62,706"
059109,Pike County,AR,"$27,854"
059111,Poinsett County,AR,"$60,475"
059113,Polk County,AR,"$51,427"
059115,Pope County,AR,"$115,868"
059117,Prairie County,AR,"$25,524"
059119,Pulaski County,AR,"$145,487"
059121,Randolph County,AR,"$35,650"
059123,St. Francis County,AR,"$63,884"
059125,Saline County,AR,"$133,667"
059127,Scott County,AR,"$26,290"
059129,Searcy County,AR,"$33,646"
059131,Sebastian County,AR,"$65,427"
059133,Sevier County,AR,"$50,044"
059135,Sharp County,AR,"$36,126"
059137,Stone County,AR,"$31,193"
059139,Union County,AR,"$95,916"
059141,Van Buren County,AR,"$41,478"
059143,Washington County,AR,"$109,867"
059145,White County,AR,"$146,325"
059147,Woodruff County,AR,"$23,755"
059149,Yell County,AR,"$59,663"
060012,Alameda,CA,"$277,526"
060030,Alhambra,CA,"$211,222"
060032,Aliso Viejo,CA,"$57,326"
060078,Anaheim,CA,"$3,060,301"
060102,Antioch,CA,"$199,777"
060108,Apple Valley,CA,"$150,634"
060228,Bakersfield,CA,"$2,318,055"
060234,Baldwin Park,CA,"$254,224"
060288,Bellflower,CA,"$259,488"
060324,Berkeley,CA,"$1,776,032"
060450,Buena Park,CA,"$190,624"
060456,Burbank,CA,"$241,523"
060516,Camarillo,CA,"$76,077"
060564,Carlsbad,CA,"$136,473"
060594,Carson,CA,"$182,841"
060624,Cathedral City,CA,"$140,395"
060654,Cerritos,CA,"$61,177"
060684,Chico,CA,"$194,287"
060708,Chino,CA,"$129,923"
060709,Chino Hills,CA,"$85,597"
060720,Chula Vista,CA,"$1,282,351"
060726,Citrus Heights,CA,"$148,638"
060756,Clovis City,CA,"$169,632"
060804,Compton,CA,"$1,077,712"
060810,Concord,CA,"$238,946"
060828,Corona,CA,"$297,387"
060846,Costa Mesa,CA,"$274,374"
060906,Cupertino City,CA,"$78,338"
060930,Daly City,CA,"$247,848"
060942,Davis,CA,"$155,281"
060960,Delano City,CA,"$173,998"
061032,Downey,CA,"$282,732"
061116,El Cajon,CA,"$309,520"
061122,El Centro,CA,"$133,963"
061146,Elk Grove,CA,"$218,632"
061152,El Monte,CA,"$1,249,646"
061212,Encinitas,CA,"$75,317"
061230,Escondido,CA,"$401,163"
061266,Fairfield,CA,"$187,497"
061332,Fontana,CA,"$1,379,621"
061380,Fountain Valley,CA,"$68,942"
061404,Fremont,CA,"$293,270"
061410,Fresno,CA,"$4,551,573"
061416,Fullerton,CA,"$348,904"
061428,Gardena,CA,"$165,551"
061440,Garden Grove,CA,"$1,404,601"
061452,Gilroy City,CA,"$113,300"
061464,Glendale,CA,"$1,145,250"
061470,Glendora City,CA,"$65,810"
061476,Goleta,CA,"$43,427"
061566,Hanford,CA,"$132,278"
061596,Hawthorne,CA,"$308,053"
061602,Hayward,CA,"$374,254"
061614,Hemet,CA,"$198,740"
061638,Hesperia,CA,"$255,703"
061692,Huntington Beach,CA,"$259,007"
061698,Huntington Park,CA,"$923,015"
061728,Indio City,CA,"$231,939"
061740,Inglewood,CA,"$989,467"
061750,Irvine,CA,"$339,118"
061854,Laguna Niguel,CA,"$71,831"
