Geo Code,Jurisdiction,State,FY 2015 PPRN
049017,Navajo County,AZ,"$223,077"
049019,Pima County,AZ,"$1,682,006"
049021,Pinal County,AZ,"$403,762"
049023,Santa Cruz County,AZ,"$115,226"
049025,Yavapai County,AZ,"$227,666"
049027,Yuma County,AZ,"$191,728"
050228,Bentonville,AR,"$41,861"
050600,Conway,AR,"$101,060"
050894,Fayetteville,AR,"$145,733"
050930,Fort Smith,AR,"$199,551"
051302,Hot Springs,AR,"$88,464"
051374,Jacksonville,AR,"$51,795"
051410,Jonesboro,AR,"$142,663"
051560,Little Rock,AR,"$949,483"
051938,North Little Rock,AR,"$142,949"
052130,Pine Bluff,AR,"$135,436"
052304,Rogers,AR,"$96,511"
052466,Springdale,AR,"$199,246"
052556,Texarkana,AR,"$61,974"
052754,West Memphis,AR,"$82,398"
059001,Arkansas County,AR,"$48,240"
059003,Ashley County,AR,"$39,495"
059005,Baxter County,AR,"$70,196"
059007,Benton County,AR,"$190,109"
059009,Boone County,AR,"$82,000"
059011,Bradley County,AR,"$33,222"
059013,Calhoun County,AR,"$14,707"
059015,Carroll County,AR,"$89,665"
059017,Chicot County,AR,"$37,045"
059019,Clark County,AR,"$59,509"
059021,Clay County,AR,"$40,544"
059023,Cleburne County,AR,"$47,691"
059025,Cleveland County,AR,"$15,685"
059027,Columbia County,AR,"$57,837"
059029,Conway County,AR,"$46,733"
059031,Craighead County,AR,"$46,917"
059033,Crawford County,AR,"$117,428"
059035,Crittenden County,AR,"$55,409"
059037,Cross County,AR,"$42,736"
059039,Dallas County,AR,"$23,773"
059041,Desha County,AR,"$37,230"
059043,Drew County,AR,"$45,205"
059045,Faulkner County,AR,"$76,826"
059047,Franklin County,AR,"$44,753"
059049,Fulton County,AR,"$32,913"
059051,Garland County,AR,"$104,356"
059053,Grant County,AR,"$22,500"
059055,Greene County,AR,"$71,043"
059057,Hempstead County,AR,"$59,752"
059059,Hot Spring County,AR,"$61,455"
059061,Howard County,AR,"$33,077"
059063,Independence County,AR,"$75,272"
059065,Izard County,AR,"$28,654"
059067,Jackson County,AR,"$40,544"
059069,Jefferson County,AR,"$41,782"
059071,Johnson County,AR,"$60,594"
059073,Lafayette County,AR,"$23,594"
059075,Lawrence County,AR,"$42,980"
059077,Lee County,AR,"$25,973"
059079,Lincoln County,AR,"$28,659"
