Geo Code,Jurisdiction,State,FY 2015 PPRN
131968,Macon-Bibb Consolidated,GA,"$381,747"
131998,Marietta,GA,"$135,005"
132814,Rome,GA,"$101,069"
132832,Roswell,GA,"$107,510"
132890,Sandy Springs City,GA,"$135,816"
132916,Savannah,GA,"$1,423,129"
133000,Smyrna City,GA,"$72,937"
133354,Valdosta,GA,"$137,031"
133432,Warner Robins,GA,"$117,691"
139001,Appling County,GA,"$46,936"
139003,Atkinson County,GA,"$25,749"
139005,Bacon County,GA,"$28,091"
139007,Baker County,GA,"$12,752"
139009,Baldwin County,GA,"$95,300"
139011,Banks County,GA,"$40,695"
139013,Barrow County,GA,"$110,581"
139015,Bartow County,GA,"$166,745"
139017,Ben Hill County,GA,"$45,911"
139019,Berrien County,GA,"$55,792"
139023,Bleckley County,GA,"$31,067"
139025,Brantley County,GA,"$35,304"
139027,Brooks County,GA,"$50,577"
139029,Bryan County,GA,"$38,529"
139031,Bulloch County,GA,"$165,930"
139033,Burke County,GA,"$57,047"
139035,Butts County,GA,"$44,492"
139037,Calhoun County,GA,"$15,056"
139039,Camden County,GA,"$83,260"
139043,Candler County,GA,"$34,854"
139045,Carroll County,GA,"$202,346"
139047,Catoosa County,GA,"$92,578"
139049,Charlton County,GA,"$22,558"
139051,Chatham County,GA,"$159,200"
139053,Chattahoochee County,GA,"$20,004"
139055,Chattooga County,GA,"$67,127"
139057,Cherokee County,GA,"$244,774"
139061,Clay County,GA,"$14,521"
139063,Clayton County,GA,"$1,399,021"
139065,Clinch County,GA,"$16,332"
139067,Cobb County,GA,"$2,060,050"
139069,Coffee County,GA,"$99,050"
139071,Colquitt County,GA,"$119,367"
139073,Columbia County,GA,"$125,009"
139075,Cook County,GA,"$41,215"
139077,Coweta County,GA,"$181,760"
139079,Crawford County,GA,"$28,266"
139081,Crisp County,GA,"$59,301"
139083,Dade County,GA,"$29,797"
139085,Dawson County,GA,"$36,280"
139087,Decatur County,GA,"$82,929"
139089,De Kalb County,GA,"$3,113,356"
139091,Dodge County,GA,"$49,905"
139093,Dooly County,GA,"$42,481"
139095,Dougherty County,GA,"$22,630"
139097,Douglas County,GA,"$197,558"
139099,Early County,GA,"$31,261"
139101,Echols County,GA,"$16,877"
139103,Effingham County,GA,"$83,994"
139105,Elbert County,GA,"$49,238"
139107,Emanuel County,GA,"$61,339"
139109,Evans County,GA,"$26,432"
139111,Fannin County,GA,"$52,150"
139113,Fayette County,GA,"$96,559"
139115,Floyd County,GA,"$118,448"
139117,Forsyth County,GA,"$177,810"
139119,Franklin County,GA,"$51,146"
139121,Fulton County,GA,"$1,128,755"
139123,Gilmer County,GA,"$63,897"
139125,Glascock County,GA,"$9,271"
139127,Glynn County,GA,"$89,845"
139129,Gordon County,GA,"$96,994"
139131,Grady County,GA,"$61,406"
139133,Greene County,GA,"$44,587"
139135,Gwinnett County,GA,"$3,431,886"
139137,Habersham County,GA,"$86,438"
139139,Hall County,GA,"$262,689"
139141,Hancock County,GA,"$36,895"
139143,Haralson County,GA,"$67,272"
139145,Harris County,GA,"$49,757"
139147,Hart County,GA,"$55,083"
139149,Heard County,GA,"$27,936"
139151,Henry County,GA,"$249,567"
139153,Houston County,GA,"$88,227"
139155,Irwin County,GA,"$22,042"
139157,Jackson County,GA,"$89,332"
139159,Jasper County,GA,"$32,132"
139161,Jeff Davis County,GA,"$35,011"
139163,Jefferson County,GA,"$49,746"
139165,Jenkins County,GA,"$35,337"
139167,Johnson County,GA,"$24,969"
139169,Jones County,GA,"$44,343"
139171,Lamar County,GA,"$64,967"
139173,Lanier County,GA,"$22,959"
139175,Laurens County,GA,"$95,832"
139177,Lee County,GA,"$31,049"
139179,Liberty County,GA,"$57,797"
139181,Lincoln County,GA,"$20,120"
139183,Long County,GA,"$25,797"
139185,Lowndes County,GA,"$81,490"
139187,Lumpkin County,GA,"$45,378"
139189,Mcduffie County,GA,"$48,079"
139191,Mcintosh County,GA,"$26,433"
139193,Macon County,GA,"$38,436"
139195,Madison County,GA,"$70,270"
139197,Marion County,GA,"$17,636"
139199,Meriwether County,GA,"$72,318"
139201,Miller County,GA,"$13,038"
139205,Mitchell County,GA,"$60,759"
139207,Monroe County,GA,"$50,129"
139209,Montgomery County,GA,"$20,474"
139211,Morgan County,GA,"$41,266"
139213,Murray County,GA,"$109,762"
139217,Newton County,GA,"$156,247"
139219,Oconee County,GA,"$36,450"
139221,Oglethorpe County,GA,"$36,111"
139223,Paulding County,GA,"$168,135"
139225,Peach County,GA,"$57,991"
139227,Pickens County,GA,"$40,208"
139229,Pierce County,GA,"$40,479"
139231,Pike County,GA,"$36,907"
139233,Polk County,GA,"$130,528"
139235,Pulaski County,GA,"$17,933"
139237,Putnam County,GA,"$40,897"
139239,Quitman County,GA,"$5,791"
139241,Rabun County,GA,"$36,214"
139243,Randolph County,GA,"$30,352"
139247,Rockdale County,GA,"$129,948"
139249,Schley County,GA,"$12,953"
139251,Screven County,GA,"$39,127"
139253,Seminole County,GA,"$20,154"
139255,Spalding County,GA,"$138,844"
139257,Stephens County,GA,"$57,775"
139259,Stewart County,GA,"$26,896"
139261,Sumter County,GA,"$86,704"
139263,Talbot County,GA,"$24,321"
139265,Taliaferro County,GA,"$12,052"
139267,Tattnall County,GA,"$50,471"
139269,Taylor County,GA,"$26,975"
139271,Telfair County,GA,"$49,790"
139273,Terrell County,GA,"$34,108"
139275,Thomas County,GA,"$144,485"
139277,Tift County,GA,"$84,236"
139279,Toombs County,GA,"$63,686"
139281,Towns County,GA,"$14,749"
139283,Treutlen County,GA,"$18,821"
139285,Troup County,GA,"$159,528"
139287,Turner County,GA,"$28,405"
139289,Twiggs County,GA,"$20,392"
139291,Union County,GA,"$36,460"
139293,Upson County,GA,"$124,500"
139295,Walker County,GA,"$146,029"
139297,Walton County,GA,"$126,279"
139299,Ware County,GA,"$116,462"
139301,Warren County,GA,"$28,763"
139303,Washington County,GA,"$66,342"
139305,Wayne County,GA,"$61,437"
139307,Webster County,GA,"$11,089"
139309,Wheeler County,GA,"$16,429"
139311,White County,GA,"$46,111"
139313,Whitfield County,GA,"$144,211"
139315,Wilcox County,GA,"$27,180"
139317,Wilkes County,GA,"$45,433"
139319,Wilkinson County,GA,"$21,319"
139321,Worth County,GA,"$48,185"
150144,Honolulu,HI,"$5,110,994"
159001,Hawaii County,HI,"$642,331"
159007,Kauai County,HI,"$181,736"
159009,Maui County,HI,"$412,963"
160102,Boise,ID,"$320,342"
160198,Coeur D'Alene,ID,"$73,520"
160510,Idaho Falls,ID,"$85,220"
160618,Lewiston,ID,"$49,290"
160684,Meridian,ID,"$74,696"
160762,Nampa,ID,"$182,210"
160906,Pocatello,ID,"$94,499"
169001,Ada County,ID,"$135,958"
169003,Adams County,ID,"$8,877"
169005,Bannock County,ID,"$39,497"
169007,Bear Lake County,ID,"$26,629"
169009,Benewah County,ID,"$20,822"
169011,Bingham County,ID,"$85,141"
169013,Blaine County,ID,"$30,799"
169015,Boise County,ID,"$12,877"
169017,Bonner County,ID,"$81,173"
169019,Bonneville County,ID,"$55,754"
169021,Boundary County,ID,"$19,766"
169023,Butte County,ID,"$7,330"
169025,Camas County,ID,"$4,762"
169027,Canyon County,ID,"$211,190"
169029,Caribou County,ID,"$14,977"
169031,Cassia County,ID,"$57,820"
169033,Clark County,ID,"$3,486"
169035,Clearwater County,ID,"$17,629"
169037,Custer County,ID,"$12,774"
169039,Elmore County,ID,"$39,650"
169041,Franklin County,ID,"$30,427"
169043,Fremont County,ID,"$28,679"
169045,Gem County,ID,"$33,931"
169047,Gooding County,ID,"$30,909"
169049,Idaho County,ID,"$39,837"
169051,Jefferson County,ID,"$39,398"
169053,Jerome County,ID,"$48,266"
169055,Kootenai County,ID,"$139,496"
169057,Latah County,ID,"$95,467"
169059,Lemhi County,ID,"$21,523"
169061,Lewis County,ID,"$12,805"
169063,Lincoln County,ID,"$10,519"
169065,Madison County,ID,"$122,487"
169067,Minidoka County,ID,"$40,767"
169069,Nez Perce County,ID,"$11,828"
169071,Oneida County,ID,"$16,105"
169073,Owyhee County,ID,"$30,147"
169075,Payette County,ID,"$42,643"
169077,Power County,ID,"$15,269"
169079,Shoshone County,ID,"$54,969"
169081,Teton County,ID,"$14,637"
169083,Twin Falls County,ID,"$135,443"
169085,Valley County,ID,"$18,608"
169087,Washington County,ID,"$29,483"
170126,Alton City,IL,"$209,344"
170222,Arlington Heights,IL,"$62,155"
170342,Aurora,IL,"$357,756"
170522,Belleville,IL,"$147,299"
170606,Berwyn,IL,"$291,651"
170660,Bloomington,IL,"$141,376"
170690,Bolingbrook,IL,"$88,075"
171218,Champaign,IL,"$171,313"
171296,Chicago,IL,"$49,012,705"
171302,Chicago Heights,IL,"$136,397"
171332,Cicero,IL,"$377,412"
171692,Danville,IL,"$218,079"
171716,Decatur,IL,"$303,889"
171746,Dekalb,IL,"$101,766"
171776,Des Plaines,IL,"$70,670"
171878,Downers Grove,IL,"$41,625"
172022,East St Louis,IL,"$1,009,733"
172094,Elgin,IL,"$195,747"
172238,Evanston,IL,"$1,093,593"
172814,Granite City,IL,"$161,717"
173228,Hoffman Estates,IL,"$62,568"
173480,Joliet,IL,"$226,010"
173540,Kankakee,IL,"$114,333"
174290,Marion City,IL,"$34,219"
174596,Moline,IL,"$176,681"
174734,Mount Prospect,IL,"$67,580"
174806,Naperville,IL,"$105,600"
175010,Normal,IL,"$101,829"
175052,North Chicago,IL,"$56,367"
175148,Oak Lawn,IL,"$62,429"
175154,Oak Park,IL,"$1,038,432"
175364,Palatine Village,IL,"$92,462"
175520,Pekin,IL,"$87,183"
175526,Peoria,IL,"$1,064,799"
175808,Rantoul,IL,"$74,841"
176000,Rockford,IL,"$1,407,999"
176006,Rock Island,IL,"$236,318"
176300,Schaumburg Village,IL,"$76,549"
176498,Skokie,IL,"$117,092"
176648,Springfield,IL,"$258,420"
177122,Urbana,IL,"$96,262"
177404,Waukegan,IL,"$194,831"
177548,Wheaton City,IL,"$45,609"
179001,Adams County,IL,"$147,410"
179003,Alexander County,IL,"$26,543"
179005,Bond County,IL,"$33,350"
179007,Boone County,IL,"$130,142"
179009,Brown County,IL,"$14,981"
179011,Bureau County,IL,"$97,741"
179013,Calhoun County,IL,"$12,788"
179015,Carroll County,IL,"$47,967"
179017,Cass County,IL,"$37,622"
179019,Champaign County,IL,"$114,086"
179021,Christian County,IL,"$93,984"
179023,Clark County,IL,"$35,518"
179025,Clay County,IL,"$33,138"
179027,Clinton County,IL,"$65,771"
179029,Coles County,IL,"$144,612"
179031,Cook County,IL,"$6,189,063"
179033,Crawford County,IL,"$51,635"
179035,Cumberland County,IL,"$28,510"
179037,Dekalb County,IL,"$130,109"
179039,De Witt County,IL,"$39,071"
179041,Douglas County,IL,"$49,339"
179043,Du Page County,IL,"$2,115,621"
179045,Edgar County,IL,"$53,673"
179047,Edwards County,IL,"$14,601"
179049,Effingham County,IL,"$65,491"
179051,Fayette County,IL,"$54,729"
179053,Ford County,IL,"$36,795"
179055,Franklin County,IL,"$106,155"
179057,Fulton County,IL,"$98,670"
179059,Gallatin County,IL,"$17,142"
179061,Greene County,IL,"$38,856"
179063,Grundy County,IL,"$93,747"
179065,Hamilton County,IL,"$17,987"
179067,Hancock County,IL,"$57,893"
179069,Hardin County,IL,"$15,797"
179071,Henderson County,IL,"$20,160"
179073,Henry County,IL,"$115,461"
179075,Iroquois County,IL,"$75,247"
179077,Jackson County,IL,"$216,587"
179079,Jasper County,IL,"$17,409"
179081,Jefferson County,IL,"$97,665"
179083,Jersey County,IL,"$37,217"
179085,Jo Daviess County,IL,"$61,015"
179087,Johnson County,IL,"$19,836"
179089,Kane County,IL,"$276,564"
179091,Kankakee County,IL,"$149,036"
179093,Kendall County,IL,"$124,551"
179095,Knox County,IL,"$147,622"
179097,Lake County,IL,"$1,660,697"
179099,Lasalle County,IL,"$263,107"
179101,Lawrence County,IL,"$39,294"
179103,Lee County,IL,"$86,656"
179105,Livingston County,IL,"$87,901"
179107,Logan County,IL,"$66,342"
179109,Mcdonough County,IL,"$87,456"
179111,Mchenry County,IL,"$332,622"
179113,Mclean County,IL,"$70,715"
179115,Macon County,IL,"$46,972"
179117,Macoupin County,IL,"$108,490"
179119,Madison County,IL,"$783,854"
179121,Marion County,IL,"$98,999"
179123,Marshall County,IL,"$29,795"
179125,Mason County,IL,"$39,375"
179127,Massac County,IL,"$44,528"
179129,Menard County,IL,"$25,787"
179131,Mercer County,IL,"$44,729"
179133,Monroe County,IL,"$50,761"
179135,Montgomery County,IL,"$71,021"
179137,Morgan County,IL,"$84,974"
179139,Moultrie County,IL,"$28,286"
179141,Ogle County,IL,"$109,039"
179143,Peoria County,IL,"$111,592"
179145,Perry County,IL,"$59,670"
179147,Piatt County,IL,"$35,061"
179149,Pike County,IL,"$44,699"
179151,Pope County,IL,"$9,499"
179153,Pulaski County,IL,"$25,432"
179155,Putnam County,IL,"$16,880"
179157,Randolph County,IL,"$64,518"
179159,Richland County,IL,"$36,962"
179161,Rock Island County,IL,"$141,050"
179163,St Clair County,IL,"$790,590"
179165,Saline County,IL,"$62,731"
179167,Sangamon County,IL,"$141,505"
179169,Schuyler County,IL,"$23,588"
179171,Scott County,IL,"$13,665"
179173,Shelby County,IL,"$51,252"
179175,Stark County,IL,"$19,139"
179177,Stephenson County,IL,"$133,093"
179179,Tazewell County,IL,"$160,177"
179181,Union County,IL,"$47,442"
179183,Vermilion County,IL,"$105,467"
179185,Wabash County,IL,"$26,181"
179187,Warren County,IL,"$50,046"
179189,Washington County,IL,"$30,526"
179191,Wayne County,IL,"$41,258"
179193,White County,IL,"$34,876"
179195,Whiteside County,IL,"$128,729"
179197,Will County,IL,"$1,040,468"
179199,Williamson County,IL,"$121,193"
179201,Winnebago County,IL,"$232,440"
179203,Woodford County,IL,"$66,083"
180084,Anderson,IN,"$212,155"
180246,Bloomington,IN,"$210,709"
180450,Carmel,IN,"$57,527"
180624,Columbus,IN,"$63,535"
180846,East Chicago,IN,"$295,168"
180912,Elkhart,IN,"$185,702"
180954,Evansville,IN,"$1,684,414"
181014,Fort Wayne,IN,"$1,343,686"
181104,Gary,IN,"$2,113,628"
181158,Goshen,IN,"$67,725"
181272,Hammond,IN,"$1,337,647"
181404,Indianapolis,IN,"$5,657,312"
181536,Kokomo,IN,"$183,853"
181566,Lafayette,IN,"$153,020"
181602,La Porte,IN,"$101,050"
181884,Michigan City,IN,"$153,446"
181950,Mishawaka,IN,"$115,718"
182100,Muncie,IN,"$289,352"
182130,New Albany,IN,"$155,074"
182886,South Bend,IN,"$1,602,688"
183042,Terre Haute,IN,"$1,007,801"
183282,West Lafayette,IN,"$82,710"
189001,Adams County,IN,"$93,277"
189003,Allen County,IN,"$130,879"
189005,Bartholomew County,IN,"$61,519"
189007,Benton County,IN,"$25,316"
189009,Blackford County,IN,"$34,500"
189011,Boone County,IN,"$80,607"
189013,Brown County,IN,"$27,123"
189015,Carroll County,IN,"$49,303"
189017,Cass County,IN,"$113,082"
189019,Clark County,IN,"$199,317"
189021,Clay County,IN,"$62,567"
189023,Clinton County,IN,"$91,045"
189025,Crawford County,IN,"$23,153"
189027,Daviess County,IN,"$66,576"
189029,Dearborn County,IN,"$70,129"
189031,Decatur County,IN,"$56,759"
189033,Dekalb County,IN,"$91,796"
189035,Delaware County,IN,"$64,201"
189037,Dubois County,IN,"$67,491"
189039,Elkhart County,IN,"$184,148"
189041,Fayette County,IN,"$67,911"
189043,Floyd County,IN,"$38,650"
189045,Fountain County,IN,"$44,403"
189047,Franklin County,IN,"$48,229"
189049,Fulton County,IN,"$48,666"
189051,Gibson County,IN,"$70,774"
189053,Grant County,IN,"$161,911"
189055,Greene County,IN,"$70,513"
189057,Hamilton County,IN,"$155,699"
189059,Hancock County,IN,"$83,180"
189061,Harrison County,IN,"$63,874"
189063,Hendricks County,IN,"$139,265"
189065,Henry County,IN,"$120,714"
189067,Howard County,IN,"$48,347"
189069,Huntington County,IN,"$94,225"
189071,Jackson County,IN,"$84,854"
189073,Jasper County,IN,"$49,868"
189075,Jay County,IN,"$61,253"
189077,Jefferson County,IN,"$60,754"
189079,Jennings County,IN,"$62,817"
189081,Johnson County,IN,"$201,016"
189083,Knox County,IN,"$100,724"
189085,Kosciusko County,IN,"$146,235"
189087,Lagrange County,IN,"$104,083"
189089,Lake County,IN,"$321,413"
189091,Laporte County,IN,"$85,671"
189093,Lawrence County,IN,"$101,482"
189095,Madison County,IN,"$132,026"
189097,Marion County,IN,"$139,677"
189099,Marshall County,IN,"$95,428"
189101,Martin County,IN,"$20,111"
189103,Miami County,IN,"$101,187"
189105,Monroe County,IN,"$84,773"
189107,Montgomery County,IN,"$92,206"
189109,Morgan County,IN,"$102,834"
189111,Newton County,IN,"$29,534"
189113,Noble County,IN,"$103,914"
189115,Ohio County,IN,"$11,646"
189117,Orange County,IN,"$47,173"
189119,Owen County,IN,"$46,043"
189121,Parke County,IN,"$38,698"
189123,Perry County,IN,"$33,015"
189125,Pike County,IN,"$25,882"
189127,Porter County,IN,"$259,137"
189129,Posey County,IN,"$45,371"
189131,Pulaski County,IN,"$32,469"
189133,Putnam County,IN,"$60,892"
189135,Randolph County,IN,"$77,722"
189137,Ripley County,IN,"$52,465"
189139,Rush County,IN,"$51,287"
189141,St. Joseph County,IN,"$132,137"
189143,Scott County,IN,"$58,507"
189145,Shelby County,IN,"$90,171"
189147,Spencer County,IN,"$44,431"
189149,Starke County,IN,"$52,077"
189151,Steuben County,IN,"$68,162"
189153,Sullivan County,IN,"$49,242"
189155,Switzerland County,IN,"$25,194"
189157,Tippecanoe County,IN,"$150,127"
189159,Tipton County,IN,"$38,347"
189161,Union County,IN,"$17,636"
189163,Vanderburgh County,IN,"$84,189"
189165,Vermillion County,IN,"$47,561"
189167,Vigo County,IN,"$76,372"
189169,Wabash County,IN,"$85,296"
189171,Warren County,IN,"$18,503"
189173,Warrick County,IN,"$86,417"
189175,Washington County,IN,"$60,027"
189177,Wayne County,IN,"$188,937"
189179,Wells County,IN,"$58,462"
189181,White County,IN,"$48,460"
189183,Whitley County,IN,"$59,398"
190138,Ames,IA,"$121,537"
190798,Cedar Falls,IA,"$62,216"
190804,Cedar Rapids,IA,"$261,514"
191134,Council Bluffs,IA,"$218,541"
191254,Davenport,IA,"$815,295"
191362,Des Moines,IA,"$2,325,060"
191464,Dubuque,IA,"$237,572"
192466,Iowa City,IA,"$149,442"
194812,Sioux City,IA,"$1,026,684"
195394,Waterloo,IA,"$291,951"
195508,West Des Moines,IA,"$58,435"
199001,Adair County,IA,"$21,954"
199003,Adams County,IA,"$13,412"
199005,Allamakee County,IA,"$44,246"
199007,Appanoose County,IA,"$45,327"
199009,Audubon County,IA,"$17,883"
199011,Benton County,IA,"$57,138"
199013,Black Hawk County,IA,"$40,660"
199015,Boone County,IA,"$77,652"
199017,Bremer County,IA,"$53,243"
199019,Buchanan County,IA,"$65,663"
199021,Buena Vista County,IA,"$74,244"
199023,Butler County,IA,"$43,846"
199025,Calhoun County,IA,"$29,504"
199027,Carroll County,IA,"$49,016"
199029,Cass County,IA,"$45,066"
199031,Cedar County,IA,"$46,867"
199033,Cerro Gordo County,IA,"$123,055"
199035,Cherokee County,IA,"$29,848"
199037,Chickasaw County,IA,"$34,017"
199039,Clarke County,IA,"$24,303"
199041,Clay County,IA,"$43,177"
199043,Clayton County,IA,"$60,440"
199045,Clinton County,IA,"$135,277"
199047,Crawford County,IA,"$63,176"
199049,Dallas County,IA,"$98,046"
199051,Davis County,IA,"$39,365"
199053,Decatur County,IA,"$27,493"
199055,Delaware County,IA,"$42,584"
199057,Des Moines County,IA,"$126,347"
199059,Dickinson County,IA,"$42,227"
199061,Dubuque County,IA,"$54,194"
199063,Emmet County,IA,"$29,340"
199065,Fayette County,IA,"$66,536"
199067,Floyd County,IA,"$48,967"
199069,Franklin County,IA,"$33,806"
199071,Fremont County,IA,"$20,047"
199073,Greene County,IA,"$28,040"
199075,Grundy County,IA,"$30,708"
199077,Guthrie County,IA,"$30,150"
199079,Hamilton County,IA,"$41,622"
199081,Hancock County,IA,"$29,286"
199083,Hardin County,IA,"$46,738"
199085,Harrison County,IA,"$43,747"
199087,Henry County,IA,"$63,275"
199089,Howard County,IA,"$28,856"
199091,Humboldt County,IA,"$25,778"
199093,Ida County,IA,"$22,580"
199095,Iowa County,IA,"$41,732"
199097,Jackson County,IA,"$50,934"
199099,Jasper County,IA,"$87,354"
199101,Jefferson County,IA,"$45,130"
199103,Johnson County,IA,"$143,916"
199105,Jones County,IA,"$47,397"
199107,Keokuk County,IA,"$35,607"
199109,Kossuth County,IA,"$40,388"
199111,Lee County,IA,"$109,089"
199113,Linn County,IA,"$148,859"
199115,Louisa County,IA,"$46,284"
199117,Lucas County,IA,"$29,978"
199119,Lyon County,IA,"$26,645"
199121,Madison County,IA,"$38,597"
199123,Mahaska County,IA,"$66,567"
199125,Marion County,IA,"$77,019"
199127,Marshall County,IA,"$154,897"
199129,Mills County,IA,"$32,806"
199131,Mitchell County,IA,"$27,930"
199133,Monona County,IA,"$31,101"
199135,Monroe County,IA,"$21,748"
199137,Montgomery County,IA,"$41,044"
199139,Muscatine County,IA,"$138,322"
199141,O'Brien County,IA,"$38,791"
199143,Osceola County,IA,"$17,254"
199145,Page County,IA,"$47,788"
199147,Palo Alto County,IA,"$26,434"
199149,Plymouth County,IA,"$47,908"
199151,Pocahontas County,IA,"$23,296"
199153,Polk County,IA,"$288,727"
199155,Pottawattamie County,IA,"$59,193"
199157,Poweshiek County,IA,"$44,977"
199159,Ringgold County,IA,"$16,021"
199161,Sac County,IA,"$32,759"
199163,Scott County,IA,"$110,674"
199165,Shelby County,IA,"$34,847"
199167,Sioux County,IA,"$64,154"
199169,Story County,IA,"$58,107"
199171,Tama County,IA,"$51,731"
199173,Taylor County,IA,"$23,069"
199175,Union County,IA,"$42,433"
199177,Van Buren County,IA,"$30,754"
199179,Wapello County,IA,"$125,911"
199181,Warren County,IA,"$81,066"
199183,Washington County,IA,"$62,490"
199185,Wayne County,IA,"$21,083"
199187,Webster County,IA,"$105,922"
199189,Winnebago County,IA,"$25,108"
199191,Winneshiek County,IA,"$54,540"
199193,Woodbury County,IA,"$40,147"
199195,Worth County,IA,"$24,146"
199197,Wright County,IA,"$38,366"
201776,Kansas City,KS,"$1,384,365"
201902,Lawrence,KS,"$171,019"
201908,Leavenworth,KS,"$82,492"
202190,Manhattan City,KS,"$153,962"
202688,Overland Park,KS,"$162,690"
203216,Shawnee,KS,"$55,706"
203408,Topeka,KS,"$1,109,940"
203696,Wichita,KS,"$1,803,342"
209001,Allen County,KS,"$36,394"
209003,Anderson County,KS,"$21,539"
209005,Atchison County,KS,"$41,661"
209007,Barber County,KS,"$12,817"
209009,Barton County,KS,"$59,301"
209011,Bourbon County,KS,"$43,891"
209013,Brown County,KS,"$32,721"
209015,Butler County,KS,"$99,537"
209017,Chase County,KS,"$9,149"
209019,Chautauqua County,KS,"$13,422"
209021,Cherokee County,KS,"$53,035"
209023,Cheyenne County,KS,"$8,053"
209025,Clark County,KS,"$6,019"
209027,Clay County,KS,"$23,002"
209029,Cloud County,KS,"$30,718"
209031,Coffey County,KS,"$19,524"
209033,Comanche County,KS,"$5,906"
209035,Cowley County,KS,"$96,409"
209037,Crawford County,KS,"$103,978"
209039,Decatur County,KS,"$10,179"
209041,Dickinson County,KS,"$51,202"
209043,Doniphan County,KS,"$19,874"
209045,Douglas County,KS,"$32,627"
209047,Edwards County,KS,"$9,971"
209049,Elk County,KS,"$12,591"
209051,Ellis County,KS,"$57,515"
209053,Ellsworth County,KS,"$15,815"
209055,Finney County,KS,"$133,244"
209057,Ford County,KS,"$114,889"
209059,Franklin County,KS,"$53,624"
209061,Geary County,KS,"$82,978"
209063,Gove County,KS,"$6,871"
209065,Graham County,KS,"$7,363"
209067,Grant County,KS,"$22,088"
209069,Gray County,KS,"$14,970"
209071,Greeley County,KS,"$2,121"
209073,Greenwood County,KS,"$24,097"
209075,Hamilton County,KS,"$5,540"
209077,Harper County,KS,"$19,171"
209079,Harvey County,KS,"$73,226"
209081,Haskell County,KS,"$8,855"
209083,Hodgeman County,KS,"$4,209"
209085,Jackson County,KS,"$27,666"
209087,Jefferson County,KS,"$30,633"
209089,Jewell County,KS,"$12,557"
209091,Johnson County,KS,"$310,834"
209093,Kearny County,KS,"$9,874"
209095,Kingman County,KS,"$20,905"
209097,Kiowa County,KS,"$6,496"
209099,Labette County,KS,"$56,306"
209101,Lane County,KS,"$4,741"
209103,Leavenworth County,KS,"$51,571"
209105,Lincoln County,KS,"$12,072"
209107,Linn County,KS,"$22,327"
209109,Logan County,KS,"$6,241"
209111,Lyon County,KS,"$109,135"
209113,Mcpherson County,KS,"$57,695"
209115,Marion County,KS,"$32,445"
209117,Marshall County,KS,"$31,282"
209119,Meade County,KS,"$9,331"
209121,Miami County,KS,"$55,718"
209123,Mitchell County,KS,"$17,288"
209125,Montgomery County,KS,"$98,307"
209127,Morris County,KS,"$16,195"
209129,Morton County,KS,"$4,175"
209131,Nemaha County,KS,"$25,612"
209133,Neosho County,KS,"$45,421"
209135,Ness County,KS,"$7,989"
209137,Norton County,KS,"$15,833"
209139,Osage County,KS,"$33,916"
209141,Osborne County,KS,"$14,554"
209143,Ottawa County,KS,"$17,204"
209145,Pawnee County,KS,"$13,901"
209147,Phillips County,KS,"$15,844"
209149,Pottawatomie County,KS,"$36,223"
209151,Pratt County,KS,"$21,800"
209153,Rawlins County,KS,"$9,371"
209155,Reno County,KS,"$147,262"
209157,Republic County,KS,"$18,637"
209159,Rice County,KS,"$27,205"
209161,Riley County,KS,"$47,965"
209163,Rooks County,KS,"$14,451"
209165,Rush County,KS,"$10,882"
209167,Russell County,KS,"$21,052"
209169,Saline County,KS,"$129,287"
209171,Scott County,KS,"$8,762"
209173,Sedgwick County,KS,"$178,746"
209175,Seward County,KS,"$80,427"
209177,Shawnee County,KS,"$56,136"
209179,Sheridan County,KS,"$6,471"
209181,Sherman County,KS,"$14,456"
209183,Smith County,KS,"$13,869"
209185,Stafford County,KS,"$15,072"
209187,Stanton County,KS,"$4,225"
209189,Stevens County,KS,"$16,458"
209191,Sumner County,KS,"$58,988"
209193,Thomas County,KS,"$12,046"
209195,Trego County,KS,"$6,806"
209197,Wabaunsee County,KS,"$16,840"
209199,Wallace County,KS,"$4,236"
209201,Washington County,KS,"$19,313"
209203,Wichita County,KS,"$6,751"
209205,Wilson County,KS,"$26,896"
209207,Woodson County,KS,"$11,965"
209209,Wyandotte County,KS,"$19,520"
210048,Ashland,KY,"$130,976"
210210,Bowling Green,KY,"$129,753"
210534,Covington,KY,"$955,894"
210696,Elizabethtown,KY,"$41,648"
211032,Henderson,KY,"$52,415"
211086,Hopkinsville,KY,"$69,387"
211314,Lexington-Fayette,KY,"$1,376,008"
211374,Louisville-Cdbg,KY,"$7,001,350"
211680,Owensboro,KY,"$102,458"
219001,Adair County,KY,"$33,868"
219003,Allen County,KY,"$39,476"
219005,Anderson County,KY,"$30,608"
219007,Ballard County,KY,"$13,455"
219009,Barren County,KY,"$75,636"
219011,Bath County,KY,"$27,410"
219013,Bell County,KY,"$70,182"
219015,Boone County,KY,"$156,064"
219017,Bourbon County,KY,"$57,877"
219019,Boyd County,KY,"$41,638"
219021,Boyle County,KY,"$52,439"
219023,Bracken County,KY,"$28,852"
219025,Breathitt County,KY,"$31,600"
219027,Breckinridge County,KY,"$48,592"
219029,Bullitt County,KY,"$98,714"
219031,Butler County,KY,"$21,010"
219033,Caldwell County,KY,"$39,867"
219035,Calloway County,KY,"$54,094"
219037,Campbell County,KY,"$294,572"
219039,Carlisle County,KY,"$10,163"
219041,Carroll County,KY,"$28,453"
219043,Carter County,KY,"$48,367"
