Geo Code,State,Name,FY 2017 PPRN,
049013,AZ,Maricopa County,"$2,061,017"
049015,AZ,Mohave County,"$335,804"
049017,AZ,Navajo County,"$283,020"
049019,AZ,Pima County,"$1,969,052"
049021,AZ,Pinal County,"$492,454"
049023,AZ,Santa Cruz County,"$154,134"
049025,AZ,Yavapai County,"$313,552"
049027,AZ,Yuma County,"$239,693"
050228,AR,Bentonville,$0
050600,AR,Conway,"$105,017"
050894,AR,Fayetteville,"$171,066"
050930,AR,Fort Smith,"$212,182"
051302,AR,Hot Springs,"$101,616"
051374,AR,Jacksonville,"$53,089"
051410,AR,Jonesboro,"$162,621"
051560,AR,Little Rock,"$982,558"
051938,AR,North Little Rock,"$146,705"
052130,AR,Pine Bluff,"$153,520"
052304,AR,Rogers,"$115,346"
052466,AR,Springdale,"$229,506"
052556,AR,Texarkana,"$65,921"
052754,AR,West Memphis,"$80,153"
059001,AR,Arkansas County,"$50,547"
059003,AR,Ashley County,"$40,198"
059005,AR,Baxter County,"$73,349"
059007,AR,Benton County,"$245,542"
059009,AR,Boone County,"$96,676"
059011,AR,Bradley County,"$39,796"
059013,AR,Calhoun County,"$14,877"
059015,AR,Carroll County,"$98,866"
059017,AR,Chicot County,"$37,783"
059019,AR,Clark County,"$62,028"
059021,AR,Clay County,"$46,996"
059023,AR,Cleburne County,"$52,170"
059025,AR,Cleveland County,"$17,876"
059027,AR,Columbia County,"$67,825"
059029,AR,Conway County,"$54,051"
059031,AR,Craighead County,"$44,768"
059033,AR,Crawford County,"$143,551"
059035,AR,Crittenden County,"$57,114"
059037,AR,Cross County,"$43,413"
059039,AR,Dallas County,"$20,724"
059041,AR,Desha County,"$40,809"
059043,AR,Drew County,"$45,482"
059045,AR,Faulkner County,"$82,785"
059047,AR,Franklin County,"$52,967"
059049,AR,Fulton County,"$32,627"
059051,AR,Garland County,"$126,907"
059053,AR,Grant County,"$25,786"
059055,AR,Greene County,"$78,558"
059057,AR,Hempstead County,"$64,717"
059059,AR,Hot Spring County,"$58,938"
059061,AR,Howard County,"$34,387"
059063,AR,Independence County,"$85,660"
059065,AR,Izard County,"$33,651"
059067,AR,Jackson County,"$44,771"
059069,AR,Jefferson County,"$40,091"
059071,AR,Johnson County,"$56,653"
059073,AR,Lafayette County,"$30,653"
059075,AR,Lawrence County,"$48,843"
059077,AR,Lee County,"$29,575"
059079,AR,Lincoln County,"$31,869"
059081,AR,Little River County,"$19,825"
059083,AR,Logan County,"$67,494"
059085,AR,Lonoke County,"$118,491"
059087,AR,Madison County,"$42,293"
059089,AR,Marion County,"$36,883"
059091,AR,Miller County,"$25,245"
059093,AR,Mississippi County,"$108,010"
059095,AR,Monroe County,"$26,044"
059097,AR,Montgomery County,"$27,105"
059099,AR,Nevada County,"$24,982"
059101,AR,Newton County,"$25,774"
059103,AR,Ouachita County,"$62,417"
059105,AR,Perry County,"$23,817"
059107,AR,Phillips County,"$66,865"
059109,AR,Pike County,"$34,589"
059111,AR,Poinsett County,"$70,200"
059113,AR,Polk County,"$55,455"
059115,AR,Pope County,"$124,478"
059117,AR,Prairie County,"$28,619"
059119,AR,Pulaski County,"$139,864"
059121,AR,Randolph County,"$37,633"
059123,AR,St. Francis County,"$67,582"
059125,AR,Saline County,"$140,871"
059127,AR,Scott County,"$28,898"
059129,AR,Searcy County,"$29,187"
059131,AR,Sebastian County,"$65,454"
